Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,246514.0,0.0,6113.0,4832.0
1/13/2021,248394.0,0.0,6151.0,5722.0
1/14/2021,250397.0,0.0,6197.0,5722.0
1/15/2021,253426.0,0.0,6237.0,8396.0
1/16/2021,255055.0,0.0,6277.0,8396.0
1/17/2021,256274.0,0.0,6302.0,8396.0
1/18/2021,257505.0,0.0,6336.0,8396.0
1/19/2021,259465.0,0.0,6369.0,9545.0
1/20/2021,261289.0,0.0,6394.0,9979.0
1/21/2021,263346.0,0.0,6427.0,11567.0
1/22/2021,265520.0,0.0,6467.0,13423.0
1/23/2021,266638.0,0.0,6483.0,13423.0
1/24/2021,267665.0,0.0,6497.0,15918.0
1/25/2021,269328.0,0.0,6528.0,16034.0
1/26/2021,270992.0,0.0,6577.0,16134.0
1/27/2021,272880.0,0.0,6601.0,17499.0
1/28/2021,274657.0,0.0,6630.0,19475.0
1/29/2021,276234.0,0.0,6647.0,21354.0
1/30/2021,277011.0,0.0,6657.0,22816.0
1/31/2021,277630.0,0.0,6675.0,24455.0
2/1/2021,278852.0,0.0,6698.0,25077.0
2/2/2021,279909.0,0.0,6711.0,25408.0
2/3/2021,280938.0,0.0,6727.0,27786.0
2/4/2021,282077.0,0.0,6745.0,27786.0
2/5/2021,283026.0,0.0,6761.0,37572.0
2/6/2021,283595.0,0.0,6770.0,47607.0
2/7/2021,284028.0,0.0,6777.0,56140.0
2/8/2021,284928.0,0.0,6797.0,59325.0
2/9/2021,285546.0,0.0,6805.0,60237.0
2/10/2021,286365.0,0.0,6817.0,67829.0
2/11/2021,286977.0,0.0,6829.0,78802.0
2/12/2021,287979.0,0.0,6847.0,89697.0
2/13/2021,288731.0,0.0,6855.0,103462.0
2/14/2021,289461.0,0.0,6866.0,114284.0
2/15/2021,290268.0,0.0,6885.0,114284.0
2/16/2021,290636.0,0.0,6893.0,119684.0
2/17/2021,291128.0,0.0,6905.0,119684.0
2/18/2021,291546.0,0.0,6916.0,119684.0
2/19/2021,292080.0,0.0,6924.0,131916.0
2/20/2021,292432.0,0.0,6927.0,135591.0
2/21/2021,292733.0,0.0,6934.0,140550.0
2/22/2021,293481.0,0.0,6952.0,148214.0
2/23/2021,294099.0,0.0,6955.0,151492.0
2/24/2021,294687.0,0.0,6965.0,162441.0
2/25/2021,295224.0,0.0,6984.0,163033.0
2/26/2021,295738.0,0.0,6997.0,185527.0
2/27/2021,296000.0,0.0,6998.0,197908.0
2/28/2021,296229.0,0.0,6999.0,210798.0
3/1/2021,296853.0,0.0,7017.0,220044.0
3/2/2021,297192.0,0.0,7024.0,224099.0
3/3/2021,297667.0,0.0,7033.0,232494.0
3/4/2021,298040.0,0.0,7038.0,241445.0
3/5/2021,298443.0,0.0,7044.0,251916.0
3/6/2021,298644.0,0.0,7049.0,259941.0
3/7/2021,298800.0,0.0,7049.0,269236.0
3/8/2021,299230.0,0.0,7057.0,278797.0
3/9/2021,299687.0,0.0,7064.0,280373.0
3/10/2021,300197.0,0.0,7070.0,289830.0
3/11/2021,300851.0,0.0,7084.0,298373.0
3/12/2021,301245.0,0.0,7090.0,298916.0
3/13/2021,301446.0,0.0,7092.0,326150.0
3/14/2021,301604.0,0.0,7092.0,326212.0
3/15/2021,302022.0,0.0,7099.0,329254.0
3/16/2021,302308.0,0.0,7102.0,329647.0
3/17/2021,302523.0,0.0,7103.0,335856.0
3/18/2021,302921.0,0.0,7109.0,343155.0
