Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,87077.0,0.0,1067.0,5843.0
1/13/2021,87653.0,0.0,1069.0,6823.0
1/14/2021,88110.0,0.0,1077.0,6823.0
1/15/2021,88635.0,0.0,1086.0,8193.0
1/16/2021,89056.0,0.0,1088.0,8193.0
1/17/2021,89393.0,0.0,1092.0,8193.0
1/18/2021,89576.0,0.0,1093.0,8193.0
1/19/2021,89864.0,0.0,1093.0,8671.0
1/20/2021,90255.0,0.0,1094.0,9121.0
1/21/2021,90649.0,0.0,1100.0,9962.0
1/22/2021,91049.0,0.0,1104.0,11878.0
1/23/2021,91410.0,0.0,1141.0,13235.0
1/24/2021,91652.0,0.0,1151.0,14071.0
1/25/2021,91816.0,0.0,1151.0,14111.0
1/26/2021,92160.0,0.0,1185.0,14245.0
1/27/2021,92531.0,0.0,1201.0,15397.0
1/28/2021,92934.0,0.0,1210.0,18149.0
1/29/2021,93246.0,0.0,1227.0,21007.0
1/30/2021,93762.0,0.0,1232.0,23785.0
1/31/2021,93949.0,0.0,1233.0,24885.0
2/1/2021,94070.0,0.0,1234.0,25438.0
2/2/2021,94384.0,0.0,1249.0,25824.0
2/3/2021,94810.0,0.0,1303.0,26345.0
2/4/2021,95111.0,0.0,1308.0,28942.0
2/5/2021,95458.0,0.0,1307.0,30749.0
2/6/2021,95717.0,0.0,1312.0,34207.0
2/7/2021,95790.0,0.0,1314.0,36195.0
2/8/2021,95914.0,0.0,1314.0,36596.0
2/9/2021,96288.0,0.0,1315.0,36907.0
2/10/2021,96595.0,0.0,1320.0,37966.0
2/11/2021,96842.0,0.0,1320.0,39710.0
2/12/2021,97063.0,0.0,1324.0,41895.0
2/13/2021,97297.0,0.0,1327.0,44935.0
2/14/2021,97401.0,0.0,1327.0,48739.0
2/15/2021,97539.0,0.0,1328.0,48739.0
2/16/2021,97666.0,0.0,1331.0,50311.0
2/17/2021,97900.0,0.0,1334.0,51293.0
2/18/2021,98100.0,0.0,1337.0,53250.0
2/19/2021,98377.0,0.0,1339.0,62657.0
2/20/2021,98641.0,0.0,1341.0,66619.0
2/21/2021,98779.0,0.0,1342.0,70876.0
2/22/2021,98810.0,0.0,1341.0,72225.0
2/23/2021,99040.0,0.0,1346.0,73053.0
2/24/2021,99242.0,0.0,1348.0,75207.0
2/25/2021,99445.0,0.0,1350.0,78148.0
2/26/2021,99613.0,0.0,1354.0,81811.0
2/27/2021,99837.0,0.0,1356.0,87239.0
2/28/2021,99954.0,0.0,1357.0,92720.0
3/1/2021,100003.0,0.0,1357.0,93750.0
3/2/2021,100158.0,0.0,1372.0,94683.0
3/3/2021,100351.0,0.0,1373.0,97027.0
3/4/2021,100531.0,0.0,1375.0,101700.0
3/5/2021,100656.0,0.0,1379.0,107265.0
3/6/2021,100842.0,0.0,1381.0,113545.0
3/7/2021,100914.0,0.0,1381.0,120103.0
3/8/2021,100959.0,0.0,1381.0,122866.0
