Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,662495.0,0.0,8908.0,19293.0
1/13/2021,673397.0,0.0,9018.0,35148.0
1/14/2021,681958.0,0.0,9122.0,35148.0
1/15/2021,689889.0,0.0,9216.0,42790.0
1/16/2021,697527.0,0.0,9314.0,42790.0
1/17/2021,704373.0,0.0,9441.0,42790.0
1/18/2021,680439.0,0.0,8111.0,42790.0
1/19/2021,711578.0,0.0,9621.0,54012.0
1/20/2021,719074.0,0.0,9727.0,58407.0
1/21/2021,726733.0,0.0,9849.0,66736.0
1/22/2021,733430.0,0.0,9958.0,74427.0
1/23/2021,739834.0,0.0,10051.0,79197.0
1/24/2021,745959.0,0.0,10143.0,83752.0
1/25/2021,749502.0,0.0,10233.0,86064.0
1/26/2021,752354.0,0.0,10308.0,87292.0
1/27/2021,759859.0,0.0,10404.0,88145.0
1/28/2021,766040.0,0.0,10482.0,120480.0
1/29/2021,771583.0,0.0,10592.0,120946.0
1/30/2021,776506.0,0.0,10675.0,135263.0
1/31/2021,781477.0,0.0,10763.0,149906.0
2/1/2021,784238.0,0.0,10838.0,155824.0
2/2/2021,786413.0,0.0,10921.0,155973.0
2/3/2021,792578.0,0.0,11008.0,170087.0
2/4/2021,797390.0,0.0,11068.0,186914.0
2/5/2021,801928.0,0.0,11121.0,206642.0
2/6/2021,806192.0,0.0,11189.0,230372.0
2/7/2021,810270.0,0.0,11242.0,262031.0
2/8/2021,812627.0,0.0,11295.0,273763.0
2/9/2021,814499.0,0.0,11361.0,280303.0
2/10/2021,819443.0,0.0,11417.0,300991.0
2/11/2021,823279.0,0.0,11481.0,330758.0
2/12/2021,826927.0,0.0,11538.0,370032.0
2/13/2021,830289.0,0.0,11573.0,406851.0
2/14/2021,833408.0,0.0,11625.0,448878.0
2/15/2021,835099.0,0.0,11674.0,448878.0
2/16/2021,836599.0,0.0,11715.0,483989.0
2/17/2021,840334.0,0.0,11760.0,509113.0
2/18/2021,843551.0,0.0,11796.0,540933.0
2/19/2021,846498.0,0.0,11836.0,616620.0
2/20/2021,848670.0,0.0,11866.0,651958.0
2/21/2021,851374.0,0.0,11893.0,691447.0
2/22/2021,852955.0,0.0,11926.0,706245.0
2/23/2021,854286.0,0.0,11963.0,714869.0
2/24/2021,857540.0,0.0,11990.0,743827.0
2/25/2021,860064.0,0.0,12029.0,771618.0
2/26/2021,862349.0,0.0,12056.0,801324.0
2/27/2021,864465.0,0.0,12086.0,829122.0
2/28/2021,866374.0,0.0,12112.0,859255.0
3/1/2021,867575.0,0.0,12133.0,875367.0
3/2/2021,868565.0,0.0,12154.0,882572.0
3/3/2021,871126.0,0.0,12175.0,904005.0
3/4/2021,873254.0,0.0,12196.0,930616.0
3/5/2021,875182.0,0.0,12217.0,936887.0
3/6/2021,876886.0,0.0,12234.0,963741.0
3/7/2021,878509.0,0.0,12248.0,987326.0
3/8/2021,879492.0,0.0,12269.0,1007844.0
3/9/2021,880383.0,0.0,12279.0,1015937.0
3/10/2021,882642.0,0.0,12296.0,1040603.0
3/11/2021,884275.0,0.0,12317.0,1071902.0
3/12/2021,886134.0,0.0,12335.0,1129823.0
3/13/2021,887776.0,0.0,12345.0,1206651.0
3/14/2021,889450.0,0.0,12360.0,1219606.0
3/15/2021,890592.0,0.0,12373.0,1253054.0
3/16/2021,891583.0,0.0,12385.0,1289585.0
3/17/2021,893840.0,0.0,12394.0,1321297.0
3/18/2021,895668.0,0.0,12405.0,1354397.0
3/19/2021,897672.0,0.0,12419.0,1383634.0
3/20/2021,899284.0,0.0,12436.0,1404292.0
3/21/2021,900986.0,0.0,12452.0,1436129.0
3/22/2021,902039.0,0.0,12466.0,1460412.0
3/23/2021,903022.0,0.0,12475.0,1469139.0
3/24/2021,905420.0,0.0,12484.0,1489849.0
3/25/2021,907455.0,0.0,12498.0,1514708.0
3/26/2021,909526.0,0.0,12507.0,1558659.0
3/27/2021,911485.0,0.0,12514.0,1604103.0
3/28/2021,913255.0,0.0,12526.0,1653037.0
3/29/2021,914367.0,0.0,12538.0,1678682.0
3/30/2021,915371.0,0.0,12548.0,1684002.0
3/31/2021,917669.0,0.0,12556.0,1724042.0
4/1/2021,919623.0,0.0,12575.0,1768023.0
4/2/2021,921594.0,0.0,12584.0,1805265.0
4/3/2021,923420.0,0.0,12594.0,1869358.0
4/4/2021,924805.0,0.0,12604.0,1889924.0
4/5/2021,925839.0,0.0,12618.0,1908886.0
4/6/2021,926532.0,0.0,12626.0,1914300.0
4/7/2021,928788.0,0.0,12636.0,1954634.0
4/8/2021,930918.0,0.0,12639.0,2016649.0
