Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,95135.0,0.0,1357.0,5815.0
1/13/2021,95378.0,0.0,1365.0,6395.0
1/14/2021,95599.0,0.0,1373.0,6395.0
1/15/2021,95714.0,0.0,1381.0,7555.0
1/16/2021,95864.0,0.0,1384.0,7555.0
1/17/2021,95907.0,0.0,1384.0,7555.0
1/18/2021,96071.0,0.0,1386.0,7555.0
1/19/2021,96222.0,0.0,1387.0,8641.0
1/20/2021,96370.0,0.0,1400.0,8954.0
1/21/2021,96567.0,0.0,1403.0,9881.0
1/22/2021,96720.0,0.0,1411.0,12428.0
1/23/2021,96817.0,0.0,1411.0,14412.0
1/24/2021,96874.0,0.0,1411.0,15589.0
1/25/2021,97006.0,0.0,1415.0,15680.0
1/26/2021,97160.0,0.0,1416.0,15742.0
1/27/2021,97305.0,0.0,1417.0,16952.0
1/28/2021,97458.0,0.0,1419.0,18244.0
1/29/2021,97562.0,0.0,1422.0,20700.0
1/30/2021,97630.0,0.0,1422.0,22968.0
1/31/2021,97683.0,0.0,1422.0,25359.0
2/1/2021,97798.0,0.0,1422.0,26136.0
2/2/2021,97936.0,0.0,1422.0,26493.0
2/3/2021,98034.0,0.0,1422.0,27418.0
2/4/2021,98095.0,0.0,1426.0,28847.0
2/5/2021,98106.0,0.0,1428.0,30829.0
2/6/2021,98155.0,0.0,1428.0,35123.0
2/7/2021,98184.0,0.0,1428.0,37651.0
2/8/2021,98175.0,0.0,1427.0,38417.0
2/9/2021,98214.0,0.0,1429.0,38417.0
2/10/2021,98353.0,0.0,1430.0,39154.0
2/11/2021,98466.0,0.0,1431.0,40721.0
2/12/2021,98551.0,0.0,1431.0,43276.0
2/13/2021,98597.0,0.0,1431.0,45474.0
2/14/2021,98643.0,0.0,1431.0,47552.0
2/15/2021,98781.0,0.0,1431.0,47552.0
2/16/2021,98901.0,0.0,1431.0,49263.0
2/17/2021,99034.0,0.0,1435.0,49615.0
2/18/2021,99153.0,0.0,1435.0,50438.0
2/19/2021,99228.0,0.0,1437.0,58099.0
2/20/2021,99277.0,0.0,1438.0,61624.0
2/21/2021,99312.0,0.0,1438.0,65293.0
2/22/2021,99416.0,0.0,1439.0,63546.0
2/23/2021,99531.0,0.0,1440.0,63709.0
2/24/2021,99621.0,0.0,1441.0,64769.0
2/25/2021,99711.0,0.0,1442.0,66374.0
2/26/2021,99780.0,0.0,1445.0,69636.0
2/27/2021,99809.0,0.0,1445.0,74353.0
2/28/2021,99852.0,0.0,1445.0,77942.0
3/1/2021,99957.0,0.0,1447.0,79483.0
3/2/2021,100067.0,0.0,1448.0,79607.0
3/3/2021,100067.0,0.0,1448.0,80709.0
3/4/2021,100278.0,0.0,1448.0,82964.0
3/5/2021,100278.0,0.0,1448.0,86601.0
3/6/2021,100391.0,0.0,1449.0,88541.0
3/7/2021,100419.0,0.0,1449.0,90596.0
3/8/2021,100514.0,0.0,1449.0,91455.0
3/9/2021,100615.0,0.0,1452.0,91874.0
3/10/2021,100726.0,0.0,1454.0,93608.0
3/11/2021,100847.0,0.0,1455.0,96489.0
3/12/2021,100942.0,0.0,1457.0,100996.0
