Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,53148.0,0.0,878.0,5.0
1/13/2021,54125.0,0.0,885.0,9.0
1/14/2021,54778.0,0.0,897.0,9.0
1/15/2021,55500.0,0.0,908.0,5700.0
1/16/2021,55945.0,0.0,927.0,5700.0
1/17/2021,56864.0,0.0,933.0,5700.0
1/18/2021,57864.0,0.0,933.0,5700.0
1/19/2021,58709.0,0.0,938.0,7120.0
1/20/2021,59437.0,0.0,950.0,8013.0
1/21/2021,60294.0,0.0,962.0,10319.0
1/22/2021,60951.0,0.0,971.0,12575.0
1/23/2021,61576.0,0.0,981.0,13166.0
1/24/2021,62337.0,0.0,987.0,13355.0
1/25/2021,62768.0,0.0,990.0,13907.0
1/26/2021,63172.0,0.0,994.0,15542.0
1/27/2021,63562.0,0.0,1006.0,18224.0
1/28/2021,64258.0,0.0,1022.0,21781.0
1/29/2021,64838.0,0.0,1036.0,25055.0
1/30/2021,65362.0,0.0,1042.0,27544.0
1/31/2021,65695.0,0.0,1057.0,29736.0
2/1/2021,66058.0,0.0,1059.0,30421.0
2/2/2021,66384.0,0.0,1066.0,32381.0
2/3/2021,66721.0,0.0,1076.0,34130.0
2/4/2021,67117.0,0.0,1085.0,36868.0
2/5/2021,67595.0,0.0,1091.0,40489.0
2/6/2021,68061.0,0.0,1098.0,43888.0
2/7/2021,68379.0,0.0,1104.0,45567.0
2/8/2021,68499.0,0.0,1106.0,46071.0
2/9/2021,68918.0,0.0,1109.0,47409.0
2/10/2021,69247.0,0.0,1116.0,50602.0
2/11/2021,69612.0,0.0,1117.0,53145.0
2/12/2021,70072.0,0.0,1126.0,55696.0
2/13/2021,70505.0,0.0,1130.0,59402.0
2/14/2021,70785.0,0.0,1133.0,61658.0
2/15/2021,71017.0,0.0,1135.0,61658.0
2/16/2021,71215.0,0.0,1136.0,65235.0
2/17/2021,71964.0,0.0,1148.0,66108.0
2/18/2021,72398.0,0.0,1150.0,69617.0
2/19/2021,72767.0,0.0,1152.0,74721.0
2/20/2021,73161.0,0.0,1153.0,78361.0
2/21/2021,73413.0,0.0,1154.0,81490.0
2/22/2021,73665.0,0.0,1154.0,85308.0
2/23/2021,73923.0,0.0,1155.0,86394.0
2/24/2021,74258.0,0.0,1157.0,88867.0
2/25/2021,74568.0,0.0,1163.0,91680.0
2/26/2021,74893.0,0.0,1167.0,94796.0
2/27/2021,75166.0,0.0,1170.0,97674.0
2/28/2021,75424.0,0.0,1170.0,99875.0
3/1/2021,75588.0,0.0,1170.0,100268.0
3/2/2021,75803.0,0.0,1170.0,101109.0
3/3/2021,75990.0,0.0,1175.0,103470.0
3/4/2021,76178.0,0.0,1178.0,106637.0
3/5/2021,76422.0,0.0,1178.0,109525.0
3/6/2021,76695.0,0.0,1181.0,114351.0
3/7/2021,76861.0,0.0,1184.0,117145.0
3/8/2021,77060.0,0.0,1184.0,120116.0
3/9/2021,77252.0,0.0,1185.0,123431.0
3/10/2021,77463.0,0.0,1187.0,128318.0
3/11/2021,77764.0,0.0,1191.0,134741.0
3/12/2021,78074.0,0.0,1195.0,140893.0
3/13/2021,78319.0,0.0,1199.0,150592.0
3/14/2021,78615.0,0.0,1199.0,155650.0
3/15/2021,78813.0,0.0,1199.0,158168.0
3/16/2021,79070.0,0.0,1202.0,161024.0
3/17/2021,79367.0,0.0,1202.0,163149.0
3/18/2021,79702.0,0.0,1207.0,167586.0
3/19/2021,79996.0,0.0,1213.0,172604.0
3/20/2021,80316.0,0.0,1217.0,178005.0
3/21/2021,80543.0,0.0,1217.0,184960.0
3/22/2021,80750.0,0.0,1217.0,190473.0
3/23/2021,81132.0,0.0,1218.0,194726.0
3/24/2021,81521.0,0.0,1228.0,200089.0
3/25/2021,82039.0,0.0,1229.0,206493.0
3/26/2021,82374.0,0.0,1231.0,211634.0
3/27/2021,82745.0,0.0,1235.0,219594.0
3/28/2021,83027.0,0.0,1237.0,228288.0
3/29/2021,83340.0,0.0,1237.0,230996.0
3/30/2021,83714.0,0.0,1237.0,234147.0
3/31/2021,84176.0,0.0,1238.0,239872.0
4/1/2021,84539.0,0.0,1245.0,247295.0
4/2/2021,85010.0,0.0,1245.0,252302.0
4/3/2021,85448.0,0.0,1247.0,261125.0
4/4/2021,85846.0,0.0,1249.0,268288.0
4/5/2021,86125.0,0.0,1249.0,270185.0
4/6/2021,86510.0,0.0,1249.0,273259.0
4/7/2021,86935.0,0.0,1250.0,282496.0
4/8/2021,87441.0,0.0,1251.0,293087.0
4/9/2021,87978.0,0.0,1253.0,301313.0
4/10/2021,88446.0,0.0,1256.0,313700.0
