Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,594749.0,0.0,20039.0,14306.0
1/13/2021,602629.0,0.0,20161.0,26926.0
1/14/2021,609721.0,0.0,20253.0,26926.0
1/15/2021,616032.0,0.0,20320.0,36741.0
1/16/2021,622089.0,0.0,20414.0,36741.0
1/17/2021,627221.0,0.0,20439.0,36741.0
1/18/2021,631074.0,0.0,20458.0,36741.0
1/19/2021,635702.0,0.0,20512.0,43879.0
1/20/2021,641140.0,0.0,20664.0,49420.0
1/21/2021,646189.0,0.0,20760.0,49420.0
1/22/2021,650389.0,0.0,20875.0,56213.0
1/23/2021,657536.0,0.0,20934.0,61506.0
1/24/2021,662808.0,0.0,20951.0,65164.0
1/25/2021,666951.0,0.0,20972.0,69374.0
1/26/2021,671727.0,0.0,21105.0,72212.0
1/27/2021,676537.0,0.0,21220.0,79648.0
1/28/2021,681283.0,0.0,21301.0,88198.0
1/29/2021,687269.0,0.0,21383.0,108740.0
1/30/2021,692543.0,0.0,21491.0,117791.0
1/31/2021,696829.0,0.0,21484.0,123147.0
2/1/2021,700346.0,0.0,21513.0,127552.0
2/2/2021,703496.0,0.0,21584.0,137096.0
2/3/2021,705807.0,0.0,21693.0,145570.0
2/4/2021,709096.0,0.0,21793.0,145570.0
2/5/2021,713324.0,0.0,21886.0,157642.0
2/6/2021,717835.0,0.0,21964.0,199040.0
2/7/2021,722167.0,0.0,21989.0,210601.0
2/8/2021,724728.0,0.0,22011.0,221465.0
2/9/2021,728304.0,0.0,22103.0,240470.0
2/10/2021,732674.0,0.0,22250.0,259944.0
2/11/2021,736330.0,0.0,22329.0,280021.0
2/12/2021,740062.0,0.0,22393.0,305518.0
2/13/2021,743819.0,0.0,22440.0,332888.0
2/14/2021,745987.0,0.0,22454.0,350955.0
2/15/2021,747432.0,0.0,22466.0,350955.0
2/16/2021,751065.0,0.0,22497.0,383659.0
2/17/2021,755174.0,0.0,22632.0,407180.0
2/18/2021,758451.0,0.0,22721.0,433066.0
2/19/2021,761498.0,0.0,22784.0,458928.0
2/20/2021,764374.0,0.0,22834.0,484965.0
2/21/2021,766405.0,0.0,22858.0,510377.0
2/22/2021,769109.0,0.0,22874.0,551548.0
2/23/2021,772267.0,0.0,22978.0,576817.0
2/24/2021,775386.0,0.0,23077.0,599628.0
2/25/2021,778963.0,0.0,23147.0,631768.0
2/26/2021,782833.0,0.0,23192.0,670703.0
2/27/2021,786967.0,0.0,23238.0,700924.0
2/28/2021,789356.0,0.0,23252.0,722507.0
3/1/2021,792496.0,0.0,23273.0,730381.0
3/2/2021,795785.0,0.0,23321.0,758817.0
3/3/2021,799476.0,0.0,23449.0,779227.0
3/4/2021,802669.0,0.0,23491.0,801346.0
3/5/2021,806370.0,0.0,23521.0,829628.0
3/6/2021,810090.0,0.0,23557.0,857205.0
3/7/2021,812609.0,0.0,23574.0,878218.0
3/8/2021,814916.0,0.0,23590.0,898336.0
3/9/2021,819042.0,0.0,23635.0,923455.0
3/10/2021,822817.0,0.0,23768.0,953326.0
3/11/2021,826632.0,0.0,23814.0,998133.0
3/12/2021,830681.0,0.0,23854.0,1027702.0
3/13/2021,834715.0,0.0,23888.0,1063758.0
3/14/2021,838025.0,0.0,23903.0,1084991.0
3/15/2021,840685.0,0.0,23925.0,1104854.0
3/16/2021,844563.0,0.0,23966.0,1129830.0
3/17/2021,848876.0,0.0,24045.0,1162372.0
3/18/2021,853349.0,0.0,24076.0,1197797.0
3/19/2021,857739.0,0.0,24103.0,1227118.0
3/20/2021,862648.0,0.0,24134.0,1258003.0
3/21/2021,865886.0,0.0,24174.0,1284545.0
3/22/2021,869037.0,0.0,24181.0,1307969.0
3/23/2021,873840.0,0.0,24242.0,1310353.0
3/24/2021,877936.0,0.0,24292.0,1368524.0
3/25/2021,881882.0,0.0,24330.0,1405724.0
3/26/2021,887481.0,0.0,24358.0,1445318.0
3/27/2021,892143.0,0.0,24382.0,1491691.0
3/28/2021,896652.0,0.0,24389.0,1538648.0
3/29/2021,900273.0,0.0,24404.0,1566611.0
3/30/2021,905144.0,0.0,24486.0,1613922.0
3/31/2021,908816.0,0.0,24561.0,1659604.0
4/1/2021,914422.0,0.0,24591.0,1730178.0
4/2/2021,918951.0,0.0,24615.0,1796703.0
4/3/2021,923396.0,0.0,24632.0,1849501.0
4/4/2021,927195.0,0.0,24637.0,1890162.0
4/5/2021,930026.0,0.0,24649.0,1910700.0
4/6/2021,933736.0,0.0,24700.0,1948426.0
4/7/2021,937979.0,0.0,24749.0,2007906.0
4/8/2021,942311.0,0.0,24783.0,2077411.0
4/9/2021,946504.0,0.0,24826.0,2153059.0
4/10/2021,950103.0,0.0,24859.0,2236169.0
4/11/2021,953490.0,0.0,24870.0,2288890.0
4/12/2021,955073.0,0.0,24896.0,2335482.0
4/13/2021,959921.0,0.0,24945.0,2391528.0
4/14/2021,963484.0,0.0,25006.0,2445130.0
4/15/2021,967401.0,0.0,25053.0,2494175.0
4/16/2021,971782.0,0.0,25094.0,2542293.0
4/17/2021,975704.0,0.0,25134.0,2600534.0
4/18/2021,978853.0,0.0,25143.0,2637550.0
4/19/2021,981036.0,0.0,25161.0,2673898.0
4/20/2021,983875.0,0.0,25206.0,2711069.0
4/21/2021,987350.0,0.0,25271.0,2759775.0
4/22/2021,990580.0,0.0,25301.0,2811184.0
4/23/2021,993414.0,0.0,25328.0,2873499.0
4/24/2021,996197.0,0.0,25367.0,2930275.0
4/25/2021,997891.0,0.0,25380.0,2974166.0
4/26/2021,988886.0,0.0,25399.0,3008260.0
4/27/2021,991010.0,0.0,25460.0,3050496.0
4/28/2021,993123.0,0.0,25509.0,3099737.0
4/29/2021,995482.0,0.0,25529.0,3150175.0
4/30/2021,997223.0,0.0,25554.0,3202180.0
5/1/2021,998812.0,0.0,25588.0,3253642.0
5/2/2021,1000010.0,0.0,25600.0,3286591.0
5/3/2021,1000993.0,0.0,25616.0,3316641.0
5/4/2021,1001997.0,0.0,25658.0,3354569.0
5/5/2021,1004525.0,0.0,25707.0,3409035.0
5/6/2021,1005938.0,0.0,25740.0,3462111.0
5/7/2021,1006905.0,0.0,25769.0,3531018.0
5/8/2021,1007555.0,0.0,25791.0,3592009.0
5/9/2021,1007894.0,0.0,25801.0,3643468.0
5/10/2021,1008046.0,0.0,25810.0,3684900.0
5/11/2021,1008607.0,0.0,25841.0,3715081.0
5/12/2021,1009093.0,0.0,25882.0,3759173.0
5/13/2021,1009521.0,0.0,25906.0,3796892.0
5/14/2021,1009844.0,0.0,25932.0,3841128.0
5/15/2021,1010490.0,0.0,25952.0,3889378.0
5/16/2021,1010759.0,0.0,25961.0,3922123.0
