Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,157974.0,0.0,2794.0,11335.0
1/13/2021,159119.0,0.0,2807.0,12426.0
1/14/2021,160543.0,0.0,2836.0,12426.0
1/15/2021,161805.0,0.0,2874.0,18711.0
1/16/2021,162893.0,0.0,2910.0,18711.0
1/17/2021,163637.0,0.0,2932.0,18711.0
1/18/2021,164263.0,0.0,2958.0,18711.0
1/19/2021,164954.0,0.0,2975.0,23236.0
1/20/2021,165835.0,0.0,3009.0,24706.0
1/21/2021,166823.0,0.0,3044.0,27014.0
1/22/2021,167731.0,0.0,3077.0,29278.0
1/23/2021,168579.0,0.0,3115.0,33133.0
1/24/2021,169205.0,0.0,3145.0,34878.0
1/25/2021,169696.0,0.0,3157.0,35507.0
1/26/2021,170296.0,0.0,3171.0,35823.0
1/27/2021,171047.0,0.0,3198.0,38292.0
1/28/2021,171719.0,0.0,3226.0,41669.0
1/29/2021,172798.0,0.0,3248.0,46878.0
1/30/2021,173539.0,0.0,3265.0,50153.0
1/31/2021,174064.0,0.0,3283.0,56314.0
2/1/2021,174550.0,0.0,3295.0,60099.0
2/2/2021,174982.0,0.0,3310.0,60740.0
2/3/2021,175652.0,0.0,3338.0,62821.0
2/4/2021,176211.0,0.0,3355.0,67246.0
2/5/2021,176793.0,0.0,3378.0,71951.0
2/6/2021,177214.0,0.0,3386.0,78774.0
2/7/2021,177556.0,0.0,3399.0,83100.0
2/8/2021,177867.0,0.0,3412.0,87916.0
2/9/2021,178280.0,0.0,3430.0,88738.0
2/10/2021,178790.0,0.0,3461.0,92720.0
2/11/2021,179323.0,0.0,3479.0,101665.0
2/12/2021,179724.0,0.0,3502.0,111954.0
2/13/2021,180289.0,0.0,3516.0,118379.0
2/14/2021,180571.0,0.0,3529.0,128316.0
2/15/2021,180761.0,0.0,3538.0,128316.0
2/16/2021,181060.0,0.0,3550.0,137520.0
2/17/2021,181332.0,0.0,3562.0,139262.0
2/18/2021,181739.0,0.0,3580.0,144049.0
2/19/2021,182050.0,0.0,3599.0,177122.0
2/20/2021,182475.0,0.0,3610.0,186104.0
2/21/2021,182789.0,0.0,3624.0,194771.0
2/22/2021,183023.0,0.0,3635.0,200459.0
2/23/2021,183335.0,0.0,3644.0,203441.0
2/24/2021,183781.0,0.0,3658.0,206504.0
2/25/2021,184080.0,0.0,3671.0,214411.0
2/26/2021,184736.0,0.0,3685.0,224643.0
2/27/2021,184888.0,0.0,3700.0,233526.0
2/28/2021,185132.0,0.0,3716.0,245357.0
3/1/2021,185297.0,0.0,3729.0,248615.0
3/2/2021,185542.0,0.0,3740.0,254632.0
3/3/2021,185898.0,0.0,3753.0,260535.0
3/4/2021,186156.0,0.0,3769.0,264446.0
3/5/2021,186460.0,0.0,3787.0,272879.0
3/6/2021,186742.0,0.0,3796.0,288529.0
3/7/2021,186922.0,0.0,3808.0,294681.0
3/8/2021,187040.0,0.0,3811.0,303277.0
3/9/2021,187238.0,0.0,3830.0,304689.0
3/10/2021,187487.0,0.0,3839.0,305392.0
3/11/2021,187720.0,0.0,3845.0,316298.0
3/12/2021,187984.0,0.0,3849.0,326268.0
3/13/2021,188167.0,0.0,3850.0,334582.0
3/14/2021,188311.0,0.0,3852.0,348248.0
3/15/2021,188488.0,0.0,3853.0,353640.0
3/16/2021,188664.0,0.0,3860.0,363688.0
3/17/2021,188907.0,0.0,3872.0,368179.0
3/18/2021,189158.0,0.0,3877.0,378563.0
