Dates,Infected,Recovered,Deaths,Vaccinated
3/1/2020,0.0,0.0,0.0,0.0
3/2/2020,0.0,0.0,0.0,0.0
3/3/2020,0.0,0.0,0.0,0.0
3/4/2020,0.0,0.0,0.0,0.0
3/5/2020,1.0,0.0,0.0,0.0
3/6/2020,1.0,0.0,0.0,0.0
3/7/2020,2.0,0.0,0.0,0.0
3/8/2020,3.0,0.0,0.0,0.0
3/9/2020,4.0,0.0,0.0,0.0
3/10/2020,5.0,0.0,0.0,0.0
3/11/2020,7.0,0.0,0.0,0.0
3/12/2020,11.0,0.0,0.0,0.0
3/13/2020,11.0,0.0,0.0,0.0
3/14/2020,11.0,0.0,0.0,0.0
3/15/2020,16.0,0.0,0.0,0.0
3/16/2020,45.0,0.0,1.0,0.0
3/17/2020,55.0,0.0,1.0,0.0
3/18/2020,63.0,0.0,1.0,0.0
3/19/2020,95.0,0.0,1.0,0.0
3/20/2020,109.0,0.0,2.0,0.0
3/21/2020,154.0,0.0,2.0,0.0
3/22/2020,190.0,0.0,2.0,0.0
3/23/2020,245.0,0.0,4.0,0.0
3/24/2020,278.0,0.0,4.0,0.0
3/25/2020,321.0,0.0,6.0,0.0
3/26/2020,535.0,0.0,10.0,0.0
3/27/2020,621.0,0.0,29.0,0.0
3/28/2020,738.0,0.0,14.0,0.0
3/29/2020,920.0,0.0,15.0,0.0
3/30/2020,1044.0,0.0,17.0,0.0
3/31/2020,1113.0,0.0,26.0,0.0
4/1/2020,1279.0,0.0,32.0,0.0
4/2/2020,1458.0,0.0,38.0,0.0
4/3/2020,1514.0,0.0,43.0,0.0
4/4/2020,1742.0,0.0,45.0,0.0
4/5/2020,1836.0,0.0,46.0,0.0
4/6/2020,1953.0,0.0,58.0,0.0
4/7/2020,2087.0,0.0,71.0,0.0
4/8/2020,2318.0,0.0,80.0,0.0
4/9/2020,2456.0,0.0,85.0,0.0
4/10/2020,2584.0,0.0,102.0,0.0
4/11/2020,2700.0,0.0,112.0,0.0
4/12/2020,2836.0,0.0,114.0,0.0
4/13/2020,2971.0,0.0,120.0,0.0
4/14/2020,3088.0,0.0,130.0,0.0
4/15/2020,3211.0,0.0,137.0,0.0
4/16/2020,3321.0,0.0,142.0,0.0
4/17/2020,3524.0,0.0,151.0,0.0
4/18/2020,3626.0,0.0,155.0,0.0
4/19/2020,3728.0,0.0,157.0,0.0
4/20/2020,3830.0,0.0,164.0,0.0
4/21/2020,3937.0,0.0,170.0,0.0
4/22/2020,4081.0,0.0,179.0,0.0
4/23/2020,4208.0,0.0,197.0,0.0
4/24/2020,4398.0,0.0,203.0,0.0
4/25/2020,4539.0,0.0,206.0,0.0
4/26/2020,4602.0,0.0,213.0,0.0
4/27/2020,4690.0,0.0,213.0,0.0
4/28/2020,4812.0,0.0,232.0,0.0
4/29/2020,4898.0,0.0,237.0,0.0
4/30/2020,5007.0,0.0,252.0,0.0
5/1/2020,5227.0,0.0,254.0,0.0
5/2/2020,5311.0,0.0,257.0,0.0
5/3/2020,5426.0,0.0,262.0,0.0
5/4/2020,5500.0,0.0,275.0,0.0
5/5/2020,5603.0,0.0,285.0,0.0
5/6/2020,5663.0,0.0,286.0,0.0
5/7/2020,5766.0,0.0,293.0,0.0
5/8/2020,5884.0,0.0,301.0,0.0
5/9/2020,6028.0,0.0,306.0,0.0
5/10/2020,6109.0,0.0,317.0,0.0
5/11/2020,6163.0,0.0,317.0,0.0
5/12/2020,6322.0,0.0,332.0,0.0
5/13/2020,6405.0,0.0,342.0,0.0
5/14/2020,6499.0,0.0,339.0,0.0
5/15/2020,6629.0,0.0,354.0,0.0
5/16/2020,6662.0,0.0,349.0,0.0
