Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,665919.0,0.0,14050.0,36422.0
1/13/2021,674674.0,0.0,14180.0,44512.0
1/14/2021,682976.0,0.0,14325.0,44512.0
1/15/2021,695193.0,0.0,14457.0,73523.0
1/16/2021,704870.0,0.0,14570.0,73523.0
1/17/2021,712961.0,0.0,14698.0,73523.0
1/18/2021,719918.0,0.0,14814.0,73523.0
1/19/2021,727080.0,0.0,14937.0,102187.0
1/20/2021,733850.0,0.0,15065.0,106821.0
1/21/2021,742538.0,0.0,15184.0,120801.0
1/22/2021,751375.0,0.0,15300.0,142005.0
1/23/2021,759301.0,0.0,15396.0,162685.0
1/24/2021,766261.0,0.0,15501.0,176659.0
1/25/2021,772569.0,0.0,15618.0,183915.0
1/26/2021,778552.0,0.0,15729.0,189791.0
1/27/2021,784633.0,0.0,15847.0,212802.0
1/28/2021,791929.0,0.0,15959.0,238722.0
1/29/2021,798728.0,0.0,16048.0,271874.0
1/30/2021,805504.0,0.0,16131.0,303102.0
1/31/2021,811279.0,0.0,16220.0,329795.0
2/1/2021,815593.0,0.0,16308.0,344325.0
2/2/2021,819616.0,0.0,16406.0,353127.0
2/3/2021,822958.0,0.0,16513.0,368054.0
2/4/2021,827433.0,0.0,16594.0,388798.0
2/5/2021,832327.0,0.0,16686.0,426368.0
2/6/2021,838229.0,0.0,16781.0,468747.0
2/7/2021,842972.0,0.0,16863.0,519101.0
2/8/2021,846873.0,0.0,16925.0,554262.0
2/9/2021,850387.0,0.0,17009.0,572426.0
2/10/2021,854170.0,0.0,17084.0,619504.0
2/11/2021,859076.0,0.0,17153.0,668178.0
2/12/2021,863285.0,0.0,17227.0,721554.0
2/13/2021,867467.0,0.0,17286.0,778565.0
2/14/2021,871661.0,0.0,17346.0,833444.0
2/15/2021,874571.0,0.0,17396.0,833444.0
2/16/2021,877624.0,0.0,17440.0,924475.0
2/17/2021,880638.0,0.0,17500.0,955337.0
2/18/2021,883994.0,0.0,17555.0,993790.0
2/19/2021,887832.0,0.0,17622.0,1066991.0
2/20/2021,891374.0,0.0,17674.0,1117514.0
2/21/2021,894600.0,0.0,17711.0,1167934.0
2/22/2021,897388.0,0.0,17755.0,1205614.0
2/23/2021,900510.0,0.0,17798.0,1241540.0
2/24/2021,903336.0,0.0,17846.0,1266482.0
2/25/2021,907769.0,0.0,17893.0,1291976.0
2/26/2021,911554.0,0.0,17933.0,1325906.0
2/27/2021,915323.0,0.0,17964.0,1368488.0
2/28/2021,918946.0,0.0,18003.0,1430288.0
3/1/2021,921678.0,0.0,18031.0,1473773.0
3/2/2021,924361.0,0.0,18064.0,1510765.0
3/3/2021,927750.0,0.0,18092.0,1544883.0
3/4/2021,931318.0,0.0,18118.0,1574158.0
3/5/2021,935418.0,0.0,18166.0,1604606.0
3/6/2021,938986.0,0.0,18201.0,1644257.0
3/7/2021,942268.0,0.0,18228.0,1692014.0
3/8/2021,944830.0,0.0,18249.0,1752004.0
3/9/2021,947737.0,0.0,18283.0,1792253.0
3/10/2021,950806.0,0.0,18303.0,1845103.0
3/11/2021,954005.0,0.0,18335.0,1899848.0
3/12/2021,958223.0,0.0,18356.0,1954049.0
3/13/2021,961370.0,0.0,18392.0,2048700.0
3/14/2021,964179.0,0.0,18414.0,2049086.0
3/15/2021,966982.0,0.0,18431.0,2106643.0
3/16/2021,970120.0,0.0,18455.0,2160663.0
3/17/2021,973707.0,0.0,18477.0,2211524.0
3/18/2021,977455.0,0.0,18500.0,2260668.0
3/19/2021,981148.0,0.0,18528.0,2310782.0
3/20/2021,985007.0,0.0,18551.0,2358465.0
3/21/2021,988742.0,0.0,18577.0,2415638.0
3/22/2021,991538.0,0.0,18594.0,2469786.0
3/23/2021,994847.0,0.0,18612.0,2531467.0
3/24/2021,998316.0,0.0,18638.0,2595344.0
3/25/2021,1002364.0,0.0,18653.0,2659823.0
3/26/2021,1006478.0,0.0,18665.0,2744807.0
3/27/2021,1010776.0,0.0,18697.0,2846185.0
3/28/2021,1014969.0,0.0,18711.0,2960695.0
3/29/2021,1018606.0,0.0,18734.0,3071121.0
3/30/2021,1021976.0,0.0,18757.0,3158458.0
3/31/2021,1026173.0,0.0,18784.0,3285602.0
4/1/2021,1030739.0,0.0,18814.0,3362056.0
4/2/2021,1034732.0,0.0,18836.0,3714514.0
4/3/2021,1038858.0,0.0,18861.0,3901557.0
4/4/2021,1042637.0,0.0,18883.0,4025832.0
4/5/2021,1046102.0,0.0,18903.0,4091857.0
4/6/2021,1048952.0,0.0,18916.0,4151808.0
4/7/2021,1052698.0,0.0,18944.0,4291740.0
4/8/2021,1057251.0,0.0,18958.0,4404749.0
4/9/2021,1061897.0,0.0,18984.0,4541344.0
4/10/2021,1065885.0,0.0,19010.0,4696961.0
4/11/2021,1069399.0,0.0,19032.0,4833937.0
4/12/2021,1072149.0,0.0,19055.0,4931444.0
4/13/2021,1074867.0,0.0,19074.0,5035736.0
4/14/2021,1078165.0,0.0,19098.0,5137853.0
4/15/2021,1082315.0,0.0,19122.0,5238268.0
4/16/2021,1085444.0,0.0,19141.0,5348409.0
4/17/2021,1089638.0,0.0,19165.0,5459423.0
4/18/2021,1092654.0,0.0,19179.0,5576166.0
4/19/2021,1094889.0,0.0,19199.0,5645106.0
4/20/2021,1097037.0,0.0,19222.0,5714340.0
4/21/2021,1099378.0,0.0,19246.0,5789997.0
4/22/2021,1102176.0,0.0,19268.0,5874354.0
4/23/2021,1104946.0,0.0,19288.0,5989190.0
4/24/2021,1107238.0,0.0,19298.0,6096861.0
4/25/2021,1109400.0,0.0,19320.0,6185368.0
4/26/2021,1111096.0,0.0,19343.0,6255867.0
4/27/2021,1112609.0,0.0,19355.0,6330749.0
4/28/2021,1114458.0,0.0,19373.0,6435452.0
4/29/2021,1116926.0,0.0,19390.0,6579272.0
4/30/2021,1119158.0,0.0,19409.0,6721308.0
5/1/2021,1121015.0,0.0,19409.0,6861832.0
