Dates,Infected,Recovered,Deaths,Vaccinated
3/1/2020,31.0,0.0,0.0,0.0
3/2/2020,39.0,0.0,0.0,0.0
3/3/2020,43.0,0.0,0.0,0.0
3/4/2020,49.0,0.0,0.0,0.0
3/5/2020,59.0,0.0,0.0,0.0
3/6/2020,61.0,0.0,0.0,0.0
3/7/2020,77.0,0.0,0.0,0.0
3/8/2020,91.0,0.0,0.0,0.0
3/9/2020,110.0,0.0,0.0,0.0
3/10/2020,132.0,0.0,0.0,0.0
3/11/2020,154.0,0.0,0.0,0.0
3/12/2020,174.0,0.0,0.0,0.0
3/13/2020,223.0,0.0,0.0,0.0
3/14/2020,273.0,0.0,0.0,0.0
3/15/2020,325.0,0.0,0.0,0.0
3/16/2020,394.0,0.0,0.0,0.0
3/17/2020,485.0,0.0,0.0,0.0
3/18/2020,567.0,0.0,0.0,0.0
3/19/2020,661.0,0.0,1.0,0.0
3/20/2020,730.0,0.0,3.0,0.0
3/21/2020,803.0,0.0,6.0,0.0
3/22/2020,877.0,0.0,7.0,0.0
3/23/2020,937.0,0.0,10.0,0.0
3/24/2020,1026.0,0.0,10.0,0.0
3/25/2020,1116.0,0.0,13.0,0.0
3/26/2020,1216.0,0.0,15.0,0.0
3/27/2020,1296.0,0.0,19.0,0.0
3/28/2020,1388.0,0.0,22.0,0.0
3/29/2020,1476.0,0.0,25.0,0.0
3/30/2020,1560.0,0.0,30.0,0.0
3/31/2020,1655.0,0.0,31.0,0.0
4/1/2020,1746.0,0.0,36.0,0.0
4/2/2020,1853.0,0.0,40.0,0.0
4/3/2020,1963.0,0.0,46.0,0.0
4/4/2020,2053.0,0.0,56.0,0.0
4/5/2020,2103.0,0.0,63.0,0.0
4/6/2020,2161.0,0.0,76.0,0.0
4/7/2020,2246.0,0.0,87.0,0.0
4/8/2020,2343.0,0.0,94.0,0.0
4/9/2020,2456.0,0.0,97.0,0.0
4/10/2020,2552.0,0.0,102.0,0.0
4/11/2020,2680.0,0.0,109.0,0.0
4/12/2020,2750.0,0.0,116.0,0.0
4/13/2020,2795.0,0.0,124.0,0.0
4/14/2020,2903.0,0.0,131.0,0.0
4/15/2020,2970.0,0.0,136.0,0.0
4/16/2020,3060.0,0.0,142.0,0.0
4/17/2020,3130.0,0.0,151.0,0.0
4/18/2020,3223.0,0.0,159.0,0.0
4/19/2020,3312.0,0.0,166.0,0.0
4/20/2020,3374.0,0.0,171.0,0.0
4/21/2020,3531.0,0.0,181.0,0.0
4/22/2020,3612.0,0.0,190.0,0.0
4/23/2020,3699.0,0.0,202.0,0.0
4/24/2020,3788.0,0.0,209.0,0.0
4/25/2020,3890.0,0.0,214.0,0.0
4/26/2020,3952.0,0.0,217.0,0.0
4/27/2020,4009.0,0.0,226.0,0.0
4/28/2020,4198.0,0.0,227.0,0.0
4/29/2020,4346.0,0.0,233.0,0.0
4/30/2020,4444.0,0.0,240.0,0.0
5/1/2020,4554.0,0.0,248.0,0.0
5/2/2020,4670.0,0.0,256.0,0.0
5/3/2020,4711.0,0.0,264.0,0.0
5/4/2020,4746.0,0.0,267.0,0.0
5/5/2020,4869.0,0.0,275.0,0.0
5/6/2020,4963.0,0.0,278.0,0.0
5/7/2020,5035.0,0.0,285.0,0.0
5/8/2020,5188.0,0.0,288.0,0.0
5/9/2020,5300.0,0.0,293.0,0.0
5/10/2020,5355.0,0.0,296.0,0.0
5/11/2020,5391.0,0.0,297.0,0.0
5/12/2020,5515.0,0.0,301.0,0.0
5/13/2020,5808.0,0.0,305.0,0.0
5/14/2020,5919.0,0.0,309.0,0.0
5/15/2020,6017.0,0.0,312.0,0.0
5/16/2020,6123.0,0.0,314.0,0.0
5/17/2020,6183.0,0.0,315.0,0.0
5/18/2020,6214.0,0.0,318.0,0.0
5/19/2020,6319.0,0.0,323.0,0.0
5/20/2020,6429.0,0.0,326.0,0.0
5/21/2020,6515.0,0.0,328.0,0.0
5/22/2020,6612.0,0.0,331.0,0.0
5/23/2020,6708.0,0.0,337.0,0.0
5/24/2020,6749.0,0.0,340.0,0.0
5/25/2020,6792.0,0.0,347.0,0.0
5/26/2020,6861.0,0.0,350.0,0.0
5/27/2020,6972.0,0.0,354.0,0.0
5/28/2020,7084.0,0.0,356.0,0.0
5/29/2020,7217.0,0.0,361.0,0.0
5/30/2020,7335.0,0.0,363.0,0.0
5/31/2020,7427.0,0.0,364.0,0.0
6/1/2020,7493.0,0.0,366.0,0.0
