Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,127780.0,0.0,1667.0,4813.0
1/13/2021,129109.0,0.0,1708.0,7014.0
1/14/2021,130246.0,0.0,1737.0,7014.0
1/15/2021,131258.0,0.0,1758.0,12795.0
1/16/2021,132412.0,0.0,1799.0,12795.0
1/17/2021,133205.0,0.0,1800.0,12795.0
1/18/2021,133851.0,0.0,1803.0,12795.0
1/19/2021,134468.0,0.0,1808.0,23866.0
1/20/2021,135142.0,0.0,1832.0,23866.0
1/21/2021,135973.0,0.0,1843.0,23866.0
1/22/2021,136839.0,0.0,1865.0,34536.0
1/23/2021,137600.0,0.0,1877.0,37983.0
1/24/2021,138168.0,0.0,1880.0,40348.0
1/25/2021,138587.0,0.0,1882.0,42426.0
1/26/2021,139355.0,0.0,1904.0,43942.0
1/27/2021,140063.0,0.0,1924.0,48261.0
1/28/2021,140783.0,0.0,1930.0,53662.0
1/29/2021,141729.0,0.0,1938.0,58664.0
1/30/2021,142416.0,0.0,1957.0,66188.0
1/31/2021,142416.0,0.0,1957.0,74927.0
2/1/2021,143373.0,0.0,1958.0,79522.0
2/2/2021,143978.0,0.0,1981.0,83898.0
2/3/2021,144605.0,0.0,1991.0,91240.0
2/4/2021,145320.0,0.0,1991.0,100414.0
2/5/2021,146137.0,0.0,2002.0,107146.0
2/6/2021,146741.0,0.0,2019.0,118378.0
2/7/2021,147122.0,0.0,2023.0,130687.0
2/8/2021,147419.0,0.0,2024.0,139700.0
2/9/2021,147932.0,0.0,2031.0,145517.0
2/10/2021,148475.0,0.0,2044.0,152361.0
2/11/2021,149082.0,0.0,2056.0,152361.0
2/12/2021,149576.0,0.0,2094.0,152361.0
2/13/2021,150034.0,0.0,2137.0,181841.0
2/14/2021,150281.0,0.0,2137.0,193105.0
2/15/2021,150464.0,0.0,2137.0,193105.0
2/16/2021,150875.0,0.0,2138.0,199679.0
2/17/2021,151257.0,0.0,2143.0,202959.0
2/18/2021,151713.0,0.0,2149.0,209930.0
2/19/2021,152190.0,0.0,2149.0,234021.0
2/20/2021,152711.0,0.0,2154.0,249241.0
2/21/2021,152818.0,0.0,2155.0,265789.0
2/22/2021,153134.0,0.0,2155.0,277357.0
2/23/2021,153645.0,0.0,2162.0,289506.0
2/24/2021,154062.0,0.0,2194.0,289751.0
2/25/2021,154554.0,0.0,2204.0,302615.0
2/26/2021,154878.0,0.0,2206.0,322835.0
2/27/2021,155315.0,0.0,2208.0,335419.0
2/28/2021,155597.0,0.0,2208.0,352906.0
3/1/2021,155787.0,0.0,2212.0,364170.0
3/2/2021,156037.0,0.0,2225.0,369954.0
3/3/2021,156287.0,0.0,2252.0,374752.0
3/4/2021,156673.0,0.0,2284.0,385738.0
3/5/2021,156884.0,0.0,2293.0,397904.0
3/6/2021,157079.0,0.0,2296.0,409610.0
3/7/2021,157285.0,0.0,2296.0,420302.0
3/8/2021,157515.0,0.0,2298.0,431930.0
3/9/2021,158007.0,0.0,2303.0,440717.0
3/10/2021,158291.0,0.0,2305.0,447042.0
3/11/2021,158644.0,0.0,2316.0,448006.0
3/12/2021,159037.0,0.0,2319.0,461440.0
3/13/2021,159392.0,0.0,2322.0,486303.0
3/14/2021,159617.0,0.0,2322.0,498278.0
3/15/2021,159788.0,0.0,2324.0,508427.0
3/16/2021,160050.0,0.0,2346.0,518520.0
3/17/2021,160286.0,0.0,2349.0,519950.0
3/18/2021,160622.0,0.0,2353.0,529551.0
3/19/2021,160994.0,0.0,2357.0,548689.0
3/20/2021,161320.0,0.0,2362.0,565879.0
3/21/2021,161531.0,0.0,2363.0,578990.0
3/22/2021,161706.0,0.0,2365.0,589589.0
3/23/2021,162016.0,0.0,2367.0,600466.0
3/24/2021,162385.0,0.0,2368.0,608702.0
3/25/2021,162806.0,0.0,2370.0,618399.0
3/26/2021,163295.0,0.0,2373.0,629470.0
3/27/2021,163702.0,0.0,2375.0,648511.0
3/28/2021,163952.0,0.0,2375.0,665111.0
3/29/2021,164164.0,0.0,2375.0,679516.0
3/30/2021,164570.0,0.0,2381.0,687942.0
