Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,733709.0,0.0,18080.0,10591.0
1/13/2021,741669.0,0.0,18429.0,18051.0
1/14/2021,748844.0,0.0,18742.0,18051.0
1/15/2021,754891.0,0.0,18957.0,66941.0
1/16/2021,762057.0,0.0,19188.0,66941.0
1/17/2021,768080.0,0.0,19310.0,66941.0
1/18/2021,772125.0,0.0,19390.0,66941.0
1/19/2021,777466.0,0.0,19467.0,79526.0
1/20/2021,783450.0,0.0,19868.0,85290.0
1/21/2021,789114.0,0.0,20128.0,96395.0
1/22/2021,794452.0,0.0,20321.0,112692.0
1/23/2021,800237.0,0.0,20526.0,122849.0
1/24/2021,804213.0,0.0,20609.0,131908.0
1/25/2021,808147.0,0.0,20664.0,135939.0
1/26/2021,812775.0,0.0,20883.0,141304.0
1/27/2021,818649.0,0.0,21105.0,156798.0
1/28/2021,824685.0,0.0,21303.0,159259.0
1/29/2021,834328.0,0.0,21462.0,193432.0
1/30/2021,839519.0,0.0,21602.0,209964.0
1/31/2021,843504.0,0.0,21602.0,223489.0
2/1/2021,846358.0,0.0,21687.0,231261.0
2/2/2021,850768.0,0.0,21812.0,236995.0
2/3/2021,853896.0,0.0,21955.0,237876.0
2/4/2021,857266.0,0.0,22101.0,257255.0
2/5/2021,861954.0,0.0,22239.0,275444.0
2/6/2021,865884.0,0.0,22396.0,298741.0
2/7/2021,870601.0,0.0,22467.0,321336.0
2/8/2021,873105.0,0.0,22471.0,328907.0
2/9/2021,877193.0,0.0,22620.0,340234.0
2/10/2021,880571.0,0.0,22745.0,356869.0
2/11/2021,884549.0,0.0,22860.0,373882.0
2/12/2021,888536.0,0.0,22959.0,399610.0
2/13/2021,892624.0,0.0,23072.0,403898.0
2/14/2021,895195.0,0.0,23096.0,453485.0
2/15/2021,897140.0,0.0,23119.0,453485.0
2/16/2021,899517.0,0.0,23126.0,457037.0
2/17/2021,902930.0,0.0,23319.0,498866.0
2/18/2021,906275.0,0.0,23413.0,518285.0
2/19/2021,909053.0,0.0,23480.0,577183.0
2/20/2021,911871.0,0.0,23570.0,596337.0
2/21/2021,913777.0,0.0,23597.0,631998.0
2/22/2021,915298.0,0.0,23614.0,654674.0
