Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,84639.0,0.0,1659.0,7666.0
1/13/2021,84816.0,0.0,1679.0,11550.0
1/14/2021,85954.0,0.0,1692.0,11550.0
1/15/2021,86523.0,0.0,1703.0,16360.0
1/16/2021,87381.0,0.0,1703.0,16360.0
1/17/2021,87939.0,0.0,1703.0,16360.0
1/18/2021,88373.0,0.0,1703.0,16360.0
1/19/2021,88513.0,0.0,1717.0,21368.0
1/20/2021,88728.0,0.0,1732.0,23428.0
1/21/2021,89282.0,0.0,1761.0,26627.0
1/22/2021,90073.0,0.0,1771.0,32181.0
1/23/2021,91028.0,0.0,1773.0,35705.0
1/24/2021,91596.0,0.0,1778.0,39016.0
1/25/2021,92069.0,0.0,1783.0,39384.0
1/26/2021,92244.0,0.0,1794.0,39522.0
1/27/2021,92541.0,0.0,1801.0,42437.0
1/28/2021,92968.0,0.0,1812.0,45057.0
1/29/2021,93406.0,0.0,1823.0,48196.0
1/30/2021,93624.0,0.0,1829.0,51159.0
1/31/2021,94238.0,0.0,1836.0,54276.0
2/1/2021,94526.0,0.0,1846.0,54972.0
2/2/2021,94662.0,0.0,1853.0,54972.0
2/3/2021,94984.0,0.0,1861.0,58951.0
2/4/2021,95064.0,0.0,1868.0,62336.0
2/5/2021,95355.0,0.0,1872.0,65261.0
2/6/2021,95839.0,0.0,1883.0,69224.0
2/7/2021,96161.0,0.0,1888.0,69224.0
2/8/2021,96402.0,0.0,1893.0,69224.0
2/9/2021,96494.0,0.0,1897.0,75814.0
2/10/2021,96636.0,0.0,1902.0,80807.0
2/11/2021,96924.0,0.0,1907.0,86660.0
2/12/2021,97313.0,0.0,1915.0,86660.0
2/13/2021,97609.0,0.0,1915.0,102807.0
2/14/2021,97837.0,0.0,1920.0,108793.0
2/15/2021,98317.0,0.0,1924.0,108793.0
2/16/2021,98428.0,0.0,1930.0,111002.0
2/17/2021,98506.0,0.0,1940.0,113075.0
2/18/2021,98624.0,0.0,1947.0,122443.0
2/19/2021,98835.0,0.0,1957.0,139129.0
2/20/2021,99064.0,0.0,1979.0,147986.0
2/21/2021,99257.0,0.0,1983.0,154598.0
2/22/2021,99476.0,0.0,1986.0,154656.0
2/23/2021,99519.0,0.0,2007.0,156649.0
2/24/2021,99619.0,0.0,2016.0,164396.0
2/25/2021,99860.0,0.0,2023.0,172089.0
2/26/2021,100044.0,0.0,2032.0,186418.0
2/27/2021,100297.0,0.0,2036.0,187418.0
2/28/2021,100584.0,0.0,2037.0,194630.0
3/1/2021,100735.0,0.0,2040.0,196337.0
3/2/2021,100765.0,0.0,2048.0,196435.0
3/3/2021,100867.0,0.0,2053.0,202838.0
3/4/2021,101066.0,0.0,2056.0,216670.0
3/5/2021,101327.0,0.0,2059.0,216953.0
3/6/2021,101632.0,0.0,2062.0,223154.0
3/7/2021,101817.0,0.0,2065.0,229847.0
3/8/2021,101937.0,0.0,2066.0,231579.0
3/9/2021,102005.0,0.0,2067.0,232141.0
3/10/2021,102051.0,0.0,2071.0,248683.0
3/11/2021,102407.0,0.0,2073.0,249152.0
3/12/2021,102567.0,0.0,2077.0,259324.0
3/13/2021,102802.0,0.0,2077.0,279724.0
3/14/2021,102995.0,0.0,2080.0,279836.0
3/15/2021,103211.0,0.0,2081.0,279934.0
3/16/2021,103278.0,0.0,2083.0,284522.0
3/17/2021,103347.0,0.0,2085.0,295034.0
3/18/2021,103679.0,0.0,2089.0,304183.0
3/19/2021,103895.0,0.0,2092.0,312391.0
3/20/2021,104221.0,0.0,2096.0,319519.0
3/21/2021,104516.0,0.0,2096.0,327489.0
3/22/2021,104743.0,0.0,2098.0,331874.0
3/23/2021,104888.0,0.0,2100.0,333016.0
3/24/2021,104966.0,0.0,2103.0,339041.0
3/25/2021,105226.0,0.0,2106.0,351547.0
3/26/2021,105625.0,0.0,2109.0,362425.0
3/27/2021,105893.0,0.0,2112.0,374507.0
3/28/2021,106488.0,0.0,2112.0,386795.0
3/29/2021,106935.0,0.0,2112.0,392056.0
3/30/2021,107105.0,0.0,2113.0,393521.0
3/31/2021,107470.0,0.0,2118.0,404691.0
4/1/2021,107980.0,0.0,2121.0,415027.0
4/2/2021,108772.0,0.0,2126.0,433407.0
4/3/2021,109407.0,0.0,2126.0,441027.0
4/4/2021,109833.0,0.0,2131.0,442492.0
4/5/2021,110022.0,0.0,2131.0,443903.0
4/6/2021,110233.0,0.0,2139.0,446628.0
4/7/2021,110679.0,0.0,2141.0,457252.0
4/8/2021,111760.0,0.0,2146.0,464881.0
4/9/2021,113200.0,0.0,2152.0,472472.0
4/10/2021,114197.0,0.0,2154.0,489472.0
4/11/2021,115299.0,0.0,2155.0,506765.0
4/12/2021,116378.0,0.0,2162.0,521776.0
4/13/2021,117366.0,0.0,2174.0,531501.0
4/14/2021,117836.0,0.0,2182.0,545761.0
4/15/2021,118936.0,0.0,2185.0,576945.0
4/16/2021,120571.0,0.0,2194.0,593407.0
4/17/2021,121701.0,0.0,2200.0,607384.0
4/18/2021,123049.0,0.0,2207.0,624517.0
4/19/2021,124140.0,0.0,2213.0,631793.0
4/20/2021,124695.0,0.0,2224.0,637466.0
4/21/2021,125212.0,0.0,2238.0,653137.0
4/22/2021,126384.0,0.0,2246.0,671118.0
4/23/2021,127450.0,0.0,2263.0,688069.0
4/24/2021,128459.0,0.0,2264.0,706256.0
4/25/2021,129203.0,0.0,2265.0,720029.0
4/26/2021,130037.0,0.0,2279.0,726309.0
4/27/2021,130361.0,0.0,2285.0,731040.0
4/28/2021,130671.0,0.0,2296.0,745420.0
4/29/2021,131437.0,0.0,2303.0,760772.0
4/30/2021,131956.0,0.0,2310.0,777089.0
5/1/2021,132578.0,0.0,2313.0,794121.0
5/2/2021,133047.0,0.0,2315.0,810340.0
5/3/2021,133507.0,0.0,2323.0,814971.0
5/4/2021,133705.0,0.0,2337.0,818701.0
5/5/2021,133846.0,0.0,2348.0,833599.0
5/6/2021,134368.0,0.0,2355.0,852404.0
5/7/2021,134888.0,0.0,2367.0,871559.0
5/8/2021,135271.0,0.0,2372.0,890295.0
5/9/2021,135543.0,0.0,2374.0,910256.0
5/10/2021,135726.0,0.0,2384.0,915787.0
5/11/2021,135769.0,0.0,2395.0,918089.0
5/12/2021,135871.0,0.0,2412.0,934184.0
5/13/2021,136199.0,0.0,2421.0,951310.0
5/14/2021,136426.0,0.0,2431.0,968908.0
5/15/2021,136655.0,0.0,2435.0,988641.0
5/16/2021,136963.0,0.0,2438.0,1007048.0
5/17/2021,137060.0,0.0,2445.0,1007674.0
5/18/2021,137086.0,0.0,2452.0,1010147.0
5/19/2021,137147.0,0.0,2461.0,1023980.0
5/20/2021,137342.0,0.0,2466.0,1043268.0
5/21/2021,137610.0,0.0,2471.0,1059589.0
5/22/2021,137763.0,0.0,2472.0,1060100.0
5/23/2021,138000.0,0.0,2474.0,1077768.0
5/24/2021,138083.0,0.0,2480.0,1082939.0
5/25/2021,138094.0,0.0,2483.0,1085175.0
