Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,102854.0,0.0,2118.0,4141.0
1/13/2021,103709.0,0.0,2129.0,5490.0
1/14/2021,104722.0,0.0,2139.0,5490.0
1/15/2021,105639.0,0.0,2155.0,8156.0
1/16/2021,106395.0,0.0,2170.0,8156.0
1/17/2021,106907.0,0.0,2178.0,8156.0
1/18/2021,107390.0,0.0,2197.0,8156.0
1/19/2021,108257.0,0.0,2210.0,9902.0
1/20/2021,109151.0,0.0,2235.0,10696.0
1/21/2021,110158.0,0.0,2245.0,11136.0
1/22/2021,110900.0,0.0,2261.0,12023.0
1/23/2021,111612.0,0.0,2269.0,12580.0
1/24/2021,111942.0,0.0,2285.0,13260.0
1/25/2021,112617.0,0.0,2299.0,13649.0
1/26/2021,113277.0,0.0,2311.0,14148.0
1/27/2021,114005.0,0.0,2318.0,16410.0
1/28/2021,114631.0,0.0,2333.0,18562.0
1/29/2021,115218.0,0.0,2340.0,20321.0
1/30/2021,115798.0,0.0,2348.0,22401.0
1/31/2021,116112.0,0.0,2356.0,23408.0
2/1/2021,116309.0,0.0,2367.0,25435.0
2/2/2021,116836.0,0.0,2381.0,26027.0
2/3/2021,117503.0,0.0,2395.0,26973.0
2/4/2021,118110.0,0.0,2403.0,27884.0
2/5/2021,118615.0,0.0,2409.0,28979.0
2/6/2021,118961.0,0.0,2418.0,30711.0
2/7/2021,119142.0,0.0,2431.0,33699.0
2/8/2021,119502.0,0.0,2439.0,35402.0
2/9/2021,119996.0,0.0,2446.0,35770.0
2/10/2021,120450.0,0.0,2457.0,37051.0
2/11/2021,120851.0,0.0,2468.0,38158.0
2/12/2021,121230.0,0.0,2473.0,40051.0
2/13/2021,121553.0,0.0,2483.0,41591.0
2/14/2021,121766.0,0.0,2487.0,43717.0
2/15/2021,122072.0,0.0,2490.0,43717.0
2/16/2021,122468.0,0.0,2499.0,46511.0
2/17/2021,122852.0,0.0,2501.0,48089.0
2/18/2021,123181.0,0.0,2505.0,51711.0
2/19/2021,123536.0,0.0,2511.0,57064.0
2/20/2021,123810.0,0.0,2515.0,59553.0
2/21/2021,124009.0,0.0,2518.0,61609.0
2/22/2021,124351.0,0.0,2521.0,62287.0
2/23/2021,124794.0,0.0,2527.0,63455.0
2/24/2021,125200.0,0.0,2532.0,64774.0
2/25/2021,125660.0,0.0,2537.0,66168.0
2/26/2021,126032.0,0.0,2537.0,67700.0
2/27/2021,126379.0,0.0,2541.0,69910.0
2/28/2021,126548.0,0.0,2544.0,73919.0
3/1/2021,126859.0,0.0,2550.0,77763.0
3/2/2021,127311.0,0.0,2550.0,79532.0
3/3/2021,127733.0,0.0,2553.0,81394.0
3/4/2021,128114.0,0.0,2555.0,82946.0
3/5/2021,128478.0,0.0,2558.0,85952.0
3/6/2021,128706.0,0.0,2559.0,88932.0
3/7/2021,128897.0,0.0,2563.0,91305.0
3/8/2021,129209.0,0.0,2565.0,93178.0
3/9/2021,129611.0,0.0,2567.0,94332.0
3/10/2021,130047.0,0.0,2573.0,97198.0
3/11/2021,130397.0,0.0,2576.0,101364.0
3/12/2021,130760.0,0.0,2577.0,104330.0
