Dates,Infected,Recovered,Deaths,Vaccinated
3/1/2020,0.0,0.0,0.0,0.0
3/2/2020,0.0,0.0,0.0,0.0
3/3/2020,0.0,0.0,0.0,0.0
3/4/2020,0.0,0.0,0.0,0.0
3/5/2020,1.0,0.0,0.0,0.0
3/6/2020,2.0,0.0,0.0,0.0
3/7/2020,5.0,0.0,0.0,0.0
3/8/2020,6.0,0.0,0.0,0.0
3/9/2020,6.0,0.0,0.0,0.0
3/10/2020,8.0,0.0,0.0,0.0
3/11/2020,13.0,0.0,0.0,0.0
3/12/2020,16.0,0.0,0.0,0.0
3/13/2020,20.0,0.0,0.0,0.0
3/14/2020,22.0,0.0,0.0,0.0
3/15/2020,35.0,0.0,0.0,0.0
3/16/2020,40.0,0.0,1.0,0.0
3/17/2020,59.0,0.0,1.0,0.0
3/18/2020,78.0,0.0,2.0,0.0
3/19/2020,124.0,0.0,2.0,0.0
3/20/2020,176.0,0.0,2.0,0.0
3/21/2020,224.0,0.0,3.0,0.0
3/22/2020,246.0,0.0,4.0,0.0
3/23/2020,350.0,0.0,6.0,0.0
3/24/2020,393.0,0.0,6.0,0.0
3/25/2020,476.0,0.0,7.0,0.0
3/26/2020,508.0,0.0,10.0,0.0
3/27/2020,591.0,0.0,14.0,0.0
3/28/2020,721.0,0.0,17.0,0.0
3/29/2020,834.0,0.0,23.0,0.0
3/30/2020,981.0,0.0,26.0,0.0
3/31/2020,1143.0,0.0,30.0,0.0
4/1/2020,1362.0,0.0,32.0,0.0
4/2/2020,1617.0,0.0,39.0,0.0
4/3/2020,1767.0,0.0,41.0,0.0
4/4/2020,1989.0,0.0,52.0,0.0
4/5/2020,2128.0,0.0,59.0,0.0
4/6/2020,2314.0,0.0,65.0,0.0
4/7/2020,2516.0,0.0,70.0,0.0
4/8/2020,2655.0,0.0,82.0,0.0
4/9/2020,2906.0,0.0,91.0,0.0
4/10/2020,3172.0,0.0,100.0,0.0
4/11/2020,3315.0,0.0,106.0,0.0
4/12/2020,3431.0,0.0,115.0,0.0
4/13/2020,3554.0,0.0,122.0,0.0
4/14/2020,3684.0,0.0,131.0,0.0
4/15/2020,3779.0,0.0,137.0,0.0
4/16/2020,4047.0,0.0,146.0,0.0
4/17/2020,4206.0,0.0,150.0,0.0
4/18/2020,4369.0,0.0,161.0,0.0
4/19/2020,4507.0,0.0,166.0,0.0
4/20/2020,4573.0,0.0,172.0,0.0
4/21/2020,4754.0,0.0,179.0,0.0
4/22/2020,4899.0,0.0,183.0,0.0
4/23/2020,5047.0,0.0,193.0,0.0
4/24/2020,5223.0,0.0,203.0,0.0
4/25/2020,5480.0,0.0,212.0,0.0
4/26/2020,5631.0,0.0,227.0,0.0
4/27/2020,5783.0,0.0,233.0,0.0
4/28/2020,5893.0,0.0,239.0,0.0
4/29/2020,6010.0,0.0,248.0,0.0
4/30/2020,6213.0,0.0,260.0,0.0
5/1/2020,6373.0,0.0,274.0,0.0
5/2/2020,6572.0,0.0,283.0,0.0
5/3/2020,6713.0,0.0,290.0,0.0
5/4/2020,6834.0,0.0,300.0,0.0
5/5/2020,6926.0,0.0,309.0,0.0
5/6/2020,7020.0,0.0,321.0,0.0
5/7/2020,7224.0,0.0,330.0,0.0
5/8/2020,7457.0,0.0,336.0,0.0
5/9/2020,7632.0,0.0,345.0,0.0
5/10/2020,7738.0,0.0,352.0,0.0
5/11/2020,7877.0,0.0,362.0,0.0
5/12/2020,8024.0,0.0,372.0,0.0
5/13/2020,8155.0,0.0,379.0,0.0
5/14/2020,8355.0,0.0,385.0,0.0
5/15/2020,8600.0,0.0,390.0,0.0
5/16/2020,8909.0,0.0,397.0,0.0
