Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,103743.0,0.0,1585.0,7374.0
1/13/2021,104195.0,0.0,1604.0,7921.0
1/14/2021,104512.0,0.0,1614.0,7921.0
1/15/2021,104937.0,0.0,1629.0,9666.0
1/16/2021,105278.0,0.0,1633.0,9666.0
1/17/2021,105544.0,0.0,1656.0,9666.0
1/18/2021,105659.0,0.0,1667.0,9666.0
1/19/2021,105786.0,0.0,1667.0,9777.0
1/20/2021,106063.0,0.0,1667.0,9922.0
1/21/2021,106400.0,0.0,1673.0,10796.0
1/22/2021,106716.0,0.0,1684.0,13831.0
1/23/2021,106963.0,0.0,1696.0,16164.0
1/24/2021,107148.0,0.0,1705.0,17293.0
1/25/2021,107180.0,0.0,1705.0,18504.0
1/26/2021,107380.0,0.0,1705.0,18753.0
1/27/2021,107608.0,0.0,1739.0,21895.0
1/28/2021,107795.0,0.0,1763.0,24543.0
1/29/2021,107955.0,0.0,1768.0,26665.0
1/30/2021,108070.0,0.0,1775.0,28547.0
1/31/2021,108250.0,0.0,1778.0,29362.0
2/1/2021,108315.0,0.0,1778.0,30557.0
2/2/2021,108431.0,0.0,1779.0,30803.0
2/3/2021,108639.0,0.0,1782.0,31863.0
2/4/2021,108813.0,0.0,1788.0,33898.0
2/5/2021,108944.0,0.0,1798.0,35590.0
2/6/2021,109132.0,0.0,1804.0,38626.0
2/7/2021,109229.0,0.0,1809.0,39756.0
2/8/2021,109283.0,0.0,1809.0,40368.0
2/9/2021,109405.0,0.0,1809.0,40466.0
2/10/2021,109580.0,0.0,1815.0,41607.0
2/11/2021,109859.0,0.0,1829.0,43827.0
2/12/2021,110068.0,0.0,1831.0,45505.0
2/13/2021,110205.0,0.0,1838.0,48674.0
2/14/2021,110315.0,0.0,1844.0,50247.0
2/15/2021,110376.0,0.0,1844.0,50247.0
2/16/2021,110593.0,0.0,1844.0,51631.0
2/17/2021,110685.0,0.0,1844.0,52337.0
2/18/2021,110871.0,0.0,1847.0,54611.0
2/19/2021,111018.0,0.0,1853.0,69083.0
2/20/2021,111165.0,0.0,1859.0,73029.0
2/21/2021,111304.0,0.0,1863.0,75719.0
2/22/2021,111334.0,0.0,1863.0,77002.0
2/23/2021,111546.0,0.0,1863.0,77602.0
2/24/2021,111808.0,0.0,1864.0,79453.0
2/25/2021,111964.0,0.0,1872.0,82296.0
2/26/2021,112107.0,0.0,1879.0,86836.0
2/27/2021,112293.0,0.0,1886.0,90204.0
2/28/2021,112427.0,0.0,1888.0,93922.0
3/1/2021,112470.0,0.0,1888.0,95432.0
3/2/2021,112652.0,0.0,1888.0,95545.0
3/3/2021,112833.0,0.0,1893.0,97334.0
3/4/2021,113065.0,0.0,1896.0,100474.0
3/5/2021,113229.0,0.0,1896.0,105267.0
3/6/2021,113378.0,0.0,1898.0,108295.0
3/7/2021,113589.0,0.0,1900.0,111664.0
3/8/2021,113596.0,0.0,1901.0,113754.0
3/9/2021,113753.0,0.0,1901.0,113842.0
3/10/2021,113962.0,0.0,1904.0,116073.0
3/11/2021,114163.0,0.0,1905.0,119696.0
3/12/2021,114347.0,0.0,1907.0,125023.0
3/13/2021,114493.0,0.0,1909.0,130331.0
3/14/2021,114623.0,0.0,1912.0,134683.0
3/15/2021,114649.0,0.0,1912.0,138196.0
3/16/2021,114791.0,0.0,1912.0,138707.0
3/17/2021,114966.0,0.0,1915.0,141180.0
3/18/2021,115203.0,0.0,1919.0,145825.0
3/19/2021,115518.0,0.0,1919.0,152321.0
3/20/2021,115723.0,0.0,1922.0,158075.0
3/21/2021,115867.0,0.0,1923.0,163402.0
3/22/2021,115972.0,0.0,1923.0,165224.0
3/23/2021,116100.0,0.0,1923.0,165441.0
3/24/2021,116370.0,0.0,1924.0,168245.0
3/25/2021,116624.0,0.0,1927.0,172622.0
3/26/2021,116833.0,0.0,1928.0,177965.0
