Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,679712.0,0.0,9114.0,17914.0
1/13/2021,683872.0,0.0,9191.0,24026.0
1/14/2021,688712.0,0.0,9297.0,24026.0
1/15/2021,692502.0,0.0,9387.0,37800.0
1/16/2021,694642.0,0.0,9476.0,37800.0
1/17/2021,696455.0,0.0,9566.0,37800.0
1/18/2021,700273.0,0.0,9646.0,37800.0
1/19/2021,705100.0,0.0,9745.0,48867.0
1/20/2021,708474.0,0.0,9831.0,52051.0
1/21/2021,712224.0,0.0,9939.0,61743.0
1/22/2021,715285.0,0.0,10013.0,76162.0
1/23/2021,717069.0,0.0,10086.0,87376.0
1/24/2021,718698.0,0.0,10168.0,96619.0
1/25/2021,722587.0,0.0,10244.0,99842.0
1/26/2021,726286.0,0.0,10326.0,101657.0
1/27/2021,728849.0,0.0,10388.0,112362.0
1/28/2021,731737.0,0.0,10458.0,123116.0
1/29/2021,734090.0,0.0,10513.0,143592.0
1/30/2021,735544.0,0.0,10563.0,155936.0
1/31/2021,736874.0,0.0,10611.0,169166.0
2/1/2021,739923.0,0.0,10662.0,178248.0
2/2/2021,742675.0,0.0,10705.0,179546.0
2/3/2021,744997.0,0.0,10745.0,192674.0
2/4/2021,747342.0,0.0,10794.0,204419.0
2/5/2021,749417.0,0.0,10844.0,215763.0
2/6/2021,750696.0,0.0,10902.0,228198.0
2/7/2021,751749.0,0.0,10928.0,244539.0
2/8/2021,754422.0,0.0,10964.0,248911.0
2/9/2021,756916.0,0.0,11004.0,250647.0
2/10/2021,758848.0,0.0,11041.0,259283.0
2/11/2021,760671.0,0.0,11075.0,267820.0
2/12/2021,762328.0,0.0,11102.0,279980.0
2/13/2021,763296.0,0.0,11135.0,288311.0
2/14/2021,764073.0,0.0,11166.0,303722.0
2/15/2021,765035.0,0.0,11192.0,303722.0
2/16/2021,766055.0,0.0,11223.0,313510.0
2/17/2021,767390.0,0.0,11261.0,314957.0
2/18/2021,768360.0,0.0,11291.0,318673.0
2/19/2021,769715.0,0.0,11320.0,339016.0
2/20/2021,770702.0,0.0,11340.0,344665.0
2/21/2021,771588.0,0.0,11370.0,355245.0
2/22/2021,773521.0,0.0,11393.0,356656.0
2/23/2021,775026.0,0.0,11414.0,361428.0
2/24/2021,776327.0,0.0,11433.0,380372.0
2/25/2021,777586.0,0.0,11456.0,396696.0
2/26/2021,778642.0,0.0,11467.0,416149.0
2/27/2021,779314.0,0.0,11483.0,435414.0
2/28/2021,779875.0,0.0,11496.0,458159.0
3/1/2021,781051.0,0.0,11510.0,468251.0
3/2/2021,782318.0,0.0,11521.0,470596.0
3/3/2021,783393.0,0.0,11544.0,487741.0
3/4/2021,784548.0,0.0,11562.0,501995.0
3/5/2021,785611.0,0.0,11581.0,523776.0
3/6/2021,786289.0,0.0,11601.0,538193.0
3/7/2021,786890.0,0.0,11624.0,564759.0
3/8/2021,788297.0,0.0,11650.0,573256.0
3/9/2021,789651.0,0.0,11671.0,575734.0
3/10/2021,790810.0,0.0,11696.0,591766.0
3/11/2021,792118.0,0.0,11708.0,607004.0
3/12/2021,793254.0,0.0,11727.0,623522.0
3/13/2021,793916.0,0.0,11739.0,639623.0
3/14/2021,794635.0,0.0,11755.0,659519.0
3/15/2021,796245.0,0.0,11763.0,670717.0
3/16/2021,797704.0,0.0,11772.0,674887.0
3/17/2021,798897.0,0.0,11791.0,687720.0
3/18/2021,800399.0,0.0,11805.0,702983.0
3/19/2021,801561.0,0.0,11816.0,716719.0
3/20/2021,802285.0,0.0,11823.0,732619.0
3/21/2021,803003.0,0.0,11836.0,752414.0
3/22/2021,804642.0,0.0,11849.0,768098.0
3/23/2021,806099.0,0.0,11861.0,774373.0
3/24/2021,807415.0,0.0,11867.0,793358.0
3/25/2021,808700.0,0.0,11873.0,815079.0
3/26/2021,809833.0,0.0,11888.0,837573.0
3/27/2021,810423.0,0.0,11897.0,862669.0
3/28/2021,811150.0,0.0,11905.0,897034.0
3/29/2021,812712.0,0.0,11911.0,912101.0
3/30/2021,814064.0,0.0,11920.0,917989.0
3/31/2021,815178.0,0.0,11931.0,942765.0
4/1/2021,816463.0,0.0,11938.0,972815.0
4/2/2021,817375.0,0.0,11949.0,999097.0
4/3/2021,818084.0,0.0,11963.0,1034467.0
4/4/2021,818526.0,0.0,11979.0,1054528.0
4/5/2021,820119.0,0.0,11989.0,1064206.0
4/6/2021,821623.0,0.0,11994.0,1066408.0
4/7/2021,822880.0,0.0,12002.0,1095400.0
4/8/2021,824256.0,0.0,12007.0,1128731.0
4/9/2021,825431.0,0.0,12020.0,1158751.0
4/10/2021,826216.0,0.0,12030.0,1192566.0
4/11/2021,826918.0,0.0,12035.0,1227764.0
4/12/2021,828512.0,0.0,12050.0,1243190.0
4/13/2021,829918.0,0.0,12061.0,1247930.0
4/14/2021,831290.0,0.0,12072.0,1260041.0
4/15/2021,832541.0,0.0,12084.0,1294250.0
4/16/2021,833589.0,0.0,12090.0,1327292.0
4/17/2021,834214.0,0.0,12100.0,1358755.0
4/18/2021,834896.0,0.0,12111.0,1395098.0
4/19/2021,836291.0,0.0,12122.0,1405338.0
4/20/2021,837610.0,0.0,12130.0,1411566.0
4/21/2021,838645.0,0.0,12145.0,1440463.0
4/22/2021,839793.0,0.0,12157.0,1474314.0
4/23/2021,840704.0,0.0,12162.0,1507366.0
4/24/2021,841226.0,0.0,12169.0,1541957.0
4/25/2021,841781.0,0.0,12176.0,1574802.0
4/26/2021,843064.0,0.0,12187.0,1586811.0
4/27/2021,844246.0,0.0,12199.0,1592705.0
4/28/2021,845244.0,0.0,12208.0,1615795.0
4/29/2021,846218.0,0.0,12218.0,1644492.0
4/30/2021,847017.0,0.0,12228.0,1671930.0
5/1/2021,847485.0,0.0,12235.0,1699653.0
5/2/2021,847989.0,0.0,12246.0,1725959.0
5/3/2021,849132.0,0.0,12252.0,1735542.0
5/4/2021,850066.0,0.0,12261.0,1740456.0
5/5/2021,850967.0,0.0,12273.0,1763967.0
5/6/2021,851837.0,0.0,12286.0,1802156.0
5/7/2021,852535.0,0.0,12294.0,1841115.0
5/8/2021,852938.0,0.0,12304.0,1873334.0
5/9/2021,853301.0,0.0,12312.0,1898730.0
5/10/2021,854157.0,0.0,12322.0,1911401.0
5/11/2021,854861.0,0.0,12328.0,1920942.0
5/12/2021,855528.0,0.0,12338.0,1936506.0
5/13/2021,856217.0,0.0,12343.0,1953189.0
5/14/2021,856781.0,0.0,12356.0,1969982.0
5/15/2021,857125.0,0.0,12363.0,1997340.0
5/16/2021,857453.0,0.0,12373.0,2031846.0
5/17/2021,858101.0,0.0,12383.0,2044935.0
5/18/2021,858695.0,0.0,12390.0,2048916.0
5/19/2021,859212.0,0.0,12398.0,2060155.0
5/20/2021,859751.0,0.0,12409.0,2072318.0
5/21/2021,860149.0,0.0,12418.0,2085654.0
5/22/2021,860521.0,0.0,12422.0,2099426.0
5/23/2021,860621.0,0.0,12429.0,2112158.0
5/24/2021,861154.0,0.0,12432.0,2117457.0
5/25/2021,861593.0,0.0,12440.0,2120958.0
