Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,1995292.0,0.0,35132.0,101317.0
1/13/2021,2021374.0,0.0,35519.0,115965.0
1/14/2021,2045699.0,0.0,35883.0,115965.0
1/15/2021,2072903.0,0.0,36210.0,155660.0
1/16/2021,2097560.0,0.0,36518.0,155660.0
1/17/2021,2113962.0,0.0,36849.0,155660.0
1/18/2021,2125552.0,0.0,37158.0,155660.0
1/19/2021,2135028.0,0.0,37491.0,179801.0
1/20/2021,2166283.0,0.0,37828.0,187503.0
1/21/2021,2188643.0,0.0,38181.0,205538.0
1/22/2021,2211289.0,0.0,38476.0,230596.0
1/23/2021,2228961.0,0.0,38766.0,251815.0
1/24/2021,2240526.0,0.0,39093.0,259056.0
1/25/2021,2246845.0,0.0,39409.0,270118.0
1/26/2021,2273119.0,0.0,39736.0,301684.0
1/27/2021,2292732.0,0.0,40048.0,324212.0
1/28/2021,2310952.0,0.0,40326.0,373624.0
1/29/2021,2314802.0,0.0,40601.0,413844.0
1/30/2021,2349142.0,0.0,40875.0,452040.0
1/31/2021,2360632.0,0.0,41136.0,478812.0
2/1/2021,2392443.0,0.0,41370.0,502794.0
2/2/2021,2415490.0,0.0,41614.0,502794.0
2/3/2021,2433110.0,0.0,41880.0,564433.0
2/4/2021,2448393.0,0.0,42151.0,621991.0
2/5/2021,2462886.0,0.0,42399.0,670782.0
2/6/2021,2476783.0,0.0,42620.0,734386.0
2/7/2021,2483187.0,0.0,42826.0,779857.0
2/8/2021,2491227.0,0.0,43041.0,806885.0
2/9/2021,2504556.0,0.0,43248.0,843836.0
2/10/2021,2517453.0,0.0,43475.0,893767.0
2/11/2021,2529343.0,0.0,43648.0,960517.0
2/12/2021,2541845.0,0.0,43842.0,1036384.0
2/13/2021,2553127.0,0.0,44032.0,1103754.0
2/14/2021,2560060.0,0.0,44204.0,1159996.0
2/15/2021,2563949.0,0.0,44362.0,1159996.0
2/16/2021,2567297.0,0.0,44518.0,1215236.0
2/17/2021,2571063.0,0.0,44702.0,1249085.0
2/18/2021,2574194.0,0.0,44888.0,1259237.0
2/19/2021,2577131.0,0.0,45086.0,1331268.0
2/20/2021,2583617.0,0.0,45250.0,1367318.0
2/21/2021,2588101.0,0.0,45395.0,1400924.0
2/22/2021,2594466.0,0.0,45564.0,1434295.0
