Dates,Infected,Recovered,Deaths,Vaccinated
3/1/2020,0.0,0.0,0.0,0.0
3/2/2020,0.0,0.0,0.0,0.0
3/3/2020,0.0,0.0,0.0,0.0
3/4/2020,0.0,0.0,0.0,0.0
3/5/2020,0.0,0.0,0.0,0.0
3/6/2020,0.0,0.0,0.0,0.0
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,1.0,0.0,0.0,0.0
3/9/2020,1.0,0.0,0.0,0.0
3/10/2020,2.0,0.0,0.0,0.0
3/11/2020,3.0,0.0,0.0,0.0
3/12/2020,4.0,0.0,0.0,0.0
3/13/2020,6.0,0.0,0.0,0.0
3/14/2020,6.0,0.0,0.0,0.0
3/15/2020,21.0,0.0,0.0,0.0
3/16/2020,29.0,0.0,0.0,0.0
3/17/2020,29.0,0.0,0.0,0.0
3/18/2020,40.0,0.0,0.0,0.0
3/19/2020,68.0,0.0,0.0,0.0
3/20/2020,102.0,0.0,0.0,0.0
3/21/2020,125.0,0.0,0.0,0.0
3/22/2020,169.0,0.0,1.0,0.0
3/23/2020,280.0,0.0,1.0,0.0
3/24/2020,298.0,0.0,1.0,0.0
3/25/2020,346.0,0.0,1.0,0.0
3/26/2020,402.0,0.0,2.0,0.0
3/27/2020,466.0,0.0,2.0,0.0
3/28/2020,588.0,0.0,2.0,0.0
3/29/2020,789.0,0.0,3.0,0.0
3/30/2020,806.0,0.0,5.0,0.0
3/31/2020,934.0,0.0,5.0,0.0
4/1/2020,1012.0,0.0,7.0,0.0
4/2/2020,1165.0,0.0,7.0,0.0
4/3/2020,1246.0,0.0,7.0,0.0
4/4/2020,1428.0,0.0,8.0,0.0
4/5/2020,1605.0,0.0,8.0,0.0
4/6/2020,1716.0,0.0,13.0,0.0
4/7/2020,1804.0,0.0,13.0,0.0
4/8/2020,1916.0,0.0,13.0,0.0
4/9/2020,2061.0,0.0,15.0,0.0
4/10/2020,2102.0,0.0,17.0,0.0
4/11/2020,2206.0,0.0,18.0,0.0
4/12/2020,2338.0,0.0,18.0,0.0
4/13/2020,2392.0,0.0,18.0,0.0
4/14/2020,2453.0,0.0,20.0,0.0
4/15/2020,2637.0,0.0,21.0,0.0
4/16/2020,2760.0,0.0,22.0,0.0
4/17/2020,2805.0,0.0,23.0,0.0
4/18/2020,2946.0,0.0,25.0,0.0
4/19/2020,3151.0,0.0,28.0,0.0
4/20/2020,3259.0,0.0,32.0,0.0
4/21/2020,3369.0,0.0,34.0,0.0
4/22/2020,3540.0,0.0,35.0,0.0
4/23/2020,3722.0,0.0,38.0,0.0
4/24/2020,3782.0,0.0,39.0,0.0
4/25/2020,3948.0,0.0,41.0,0.0
4/26/2020,4214.0,0.0,41.0,0.0
4/27/2020,4307.0,0.0,44.0,0.0
4/28/2020,4423.0,0.0,45.0,0.0
4/29/2020,4605.0,0.0,46.0,0.0
4/30/2020,4753.0,0.0,46.0,0.0
5/1/2020,4828.0,0.0,46.0,0.0
5/2/2020,4981.0,0.0,49.0,0.0
5/3/2020,5261.0,0.0,50.0,0.0
5/4/2020,5406.0,0.0,56.0,0.0
5/5/2020,5530.0,0.0,58.0,0.0
5/6/2020,5595.0,0.0,58.0,0.0
5/7/2020,5794.0,0.0,61.0,0.0
5/8/2020,6041.0,0.0,66.0,0.0
5/9/2020,6234.0,0.0,67.0,0.0
5/10/2020,6317.0,0.0,67.0,0.0
5/11/2020,6395.0,0.0,72.0,0.0
5/12/2020,6548.0,0.0,75.0,0.0
5/13/2020,6675.0,0.0,75.0,0.0
5/14/2020,6837.0,0.0,77.0,0.0
5/15/2020,7012.0,0.0,78.0,0.0
5/16/2020,7166.0,0.0,79.0,0.0
