Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,9247.0,0.0,158.0,0.0
1/13/2021,9368.0,0.0,158.0,0.0
1/14/2021,9573.0,0.0,162.0,0.0
1/15/2021,9734.0,0.0,163.0,4100.0
1/16/2021,9915.0,0.0,163.0,4100.0
1/17/2021,10057.0,0.0,163.0,4100.0
1/18/2021,10220.0,0.0,163.0,4100.0
1/19/2021,10321.0,0.0,163.0,6114.0
1/20/2021,10471.0,0.0,165.0,6167.0
1/21/2021,10580.0,0.0,168.0,6545.0
1/22/2021,10759.0,0.0,169.0,7954.0
1/23/2021,10908.0,0.0,170.0,8877.0
1/24/2021,11033.0,0.0,170.0,9853.0
1/25/2021,11165.0,0.0,171.0,10195.0
1/26/2021,11285.0,0.0,171.0,10349.0
1/27/2021,11379.0,0.0,172.0,10806.0
1/28/2021,11523.0,0.0,172.0,12418.0
1/29/2021,11658.0,0.0,172.0,14168.0
1/30/2021,11831.0,0.0,173.0,15213.0
1/31/2021,11965.0,0.0,174.0,16491.0
2/1/2021,12083.0,0.0,175.0,18338.0
2/2/2021,12196.0,0.0,176.0,18903.0
2/3/2021,12329.0,0.0,179.0,19237.0
2/4/2021,12503.0,0.0,181.0,20843.0
2/5/2021,12612.0,0.0,181.0,22483.0
2/6/2021,12766.0,0.0,182.0,24212.0
2/7/2021,12900.0,0.0,183.0,26162.0
2/8/2021,13046.0,0.0,183.0,27144.0
2/9/2021,13105.0,0.0,186.0,28010.0
2/10/2021,13122.0,0.0,187.0,28122.0
2/11/2021,13249.0,0.0,188.0,29713.0
2/12/2021,13415.0,0.0,189.0,31208.0
2/13/2021,13561.0,0.0,189.0,32186.0
2/14/2021,13677.0,0.0,189.0,33495.0
2/15/2021,13862.0,0.0,190.0,33495.0
2/16/2021,13917.0,0.0,191.0,36773.0
2/17/2021,13996.0,0.0,191.0,36957.0
2/18/2021,14149.0,0.0,193.0,38381.0
2/19/2021,14251.0,0.0,193.0,40829.0
2/20/2021,14359.0,0.0,196.0,43084.0
2/21/2021,14493.0,0.0,197.0,45017.0
2/22/2021,14608.0,0.0,198.0,45725.0
2/23/2021,14691.0,0.0,201.0,46663.0
2/24/2021,14768.0,0.0,201.0,46877.0
2/25/2021,14840.0,0.0,203.0,48194.0
2/26/2021,14963.0,0.0,204.0,49372.0
2/27/2021,15098.0,0.0,204.0,51631.0
2/28/2021,15198.0,0.0,204.0,54139.0
3/1/2021,15284.0,0.0,205.0,56934.0
3/2/2021,15372.0,0.0,206.0,58448.0
3/3/2021,15487.0,0.0,207.0,58977.0
3/4/2021,15686.0,0.0,207.0,59938.0
3/5/2021,15819.0,0.0,207.0,60708.0
3/6/2021,15964.0,0.0,208.0,61961.0
3/7/2021,16083.0,0.0,208.0,64474.0
3/8/2021,16199.0,0.0,208.0,67485.0
3/9/2021,16286.0,0.0,211.0,69148.0
3/10/2021,16371.0,0.0,211.0,69928.0
3/11/2021,16500.0,0.0,211.0,71639.0
3/12/2021,16623.0,0.0,212.0,73038.0
3/13/2021,16698.0,0.0,214.0,77757.0
3/14/2021,16890.0,0.0,214.0,77769.0
3/15/2021,16992.0,0.0,214.0,80189.0
3/16/2021,17047.0,0.0,215.0,82273.0
3/17/2021,17106.0,0.0,217.0,84148.0
3/18/2021,17247.0,0.0,217.0,86222.0
3/19/2021,17393.0,0.0,217.0,88186.0
3/20/2021,17555.0,0.0,219.0,90314.0
3/21/2021,17740.0,0.0,219.0,93226.0
3/22/2021,17839.0,0.0,219.0,94166.0
3/23/2021,17933.0,0.0,220.0,96754.0
3/24/2021,18028.0,0.0,222.0,98352.0
3/25/2021,18215.0,0.0,223.0,99990.0
3/26/2021,18498.0,0.0,224.0,102707.0
3/27/2021,18623.0,0.0,224.0,105283.0
3/28/2021,18820.0,0.0,225.0,108611.0
3/29/2021,19002.0,0.0,225.0,111151.0
3/30/2021,19109.0,0.0,225.0,114662.0
3/31/2021,19523.0,0.0,227.0,117656.0
4/1/2021,19523.0,0.0,227.0,119943.0
4/2/2021,19755.0,0.0,228.0,124263.0
4/3/2021,19905.0,0.0,229.0,133072.0
4/4/2021,20149.0,0.0,229.0,133803.0
4/5/2021,20267.0,0.0,229.0,138468.0
4/6/2021,20373.0,0.0,229.0,141456.0
4/7/2021,20442.0,0.0,230.0,142678.0
4/8/2021,20669.0,0.0,230.0,145510.0
4/9/2021,20815.0,0.0,231.0,151206.0
4/10/2021,20965.0,0.0,231.0,158310.0
4/11/2021,21202.0,0.0,231.0,163581.0
4/12/2021,21291.0,0.0,233.0,169769.0
