Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,103203.0,0.0,1634.0,0.0
1/13/2021,104392.0,0.0,1671.0,0.0
1/14/2021,105219.0,0.0,1702.0,0.0
1/15/2021,106649.0,0.0,1733.0,21162.0
1/16/2021,108124.0,0.0,1761.0,21162.0
1/17/2021,108821.0,0.0,1776.0,21162.0
1/18/2021,109809.0,0.0,1784.0,21162.0
1/19/2021,110820.0,0.0,1815.0,23723.0
1/20/2021,111677.0,0.0,1836.0,25681.0
1/21/2021,112617.0,0.0,1849.0,31587.0
1/22/2021,113615.0,0.0,1856.0,35390.0
1/23/2021,114752.0,0.0,1872.0,37979.0
1/24/2021,115307.0,0.0,1895.0,39071.0
1/25/2021,115839.0,0.0,1899.0,39453.0
1/26/2021,116978.0,0.0,1928.0,42821.0
1/27/2021,117775.0,0.0,1953.0,45244.0
1/28/2021,118562.0,0.0,1983.0,50843.0
1/29/2021,119467.0,0.0,2006.0,58113.0
1/30/2021,120340.0,0.0,2015.0,65165.0
1/31/2021,121001.0,0.0,2024.0,67183.0
2/1/2021,121425.0,0.0,2028.0,67363.0
2/2/2021,121935.0,0.0,2031.0,69893.0
2/3/2021,122470.0,0.0,2058.0,72456.0
2/4/2021,123044.0,0.0,2080.0,78405.0
2/5/2021,123641.0,0.0,2100.0,87679.0
2/6/2021,124190.0,0.0,2119.0,100159.0
2/7/2021,124708.0,0.0,2129.0,104023.0
2/8/2021,125106.0,0.0,2131.0,104711.0
2/9/2021,125522.0,0.0,2150.0,107679.0
2/10/2021,125951.0,0.0,2175.0,110332.0
2/11/2021,126420.0,0.0,2187.0,114445.0
2/12/2021,126887.0,0.0,2199.0,120819.0
2/13/2021,127282.0,0.0,2201.0,133868.0
2/14/2021,127588.0,0.0,2210.0,138882.0
2/15/2021,127889.0,0.0,2212.0,138882.0
2/16/2021,128117.0,0.0,2216.0,142817.0
2/17/2021,128405.0,0.0,2225.0,144370.0
2/18/2021,128760.0,0.0,2236.0,148742.0
2/19/2021,129055.0,0.0,2248.0,161329.0
2/20/2021,129364.0,0.0,2254.0,169795.0
2/21/2021,129616.0,0.0,2261.0,173068.0
2/22/2021,129854.0,0.0,2263.0,170138.0
2/23/2021,130139.0,0.0,2274.0,172420.0
2/24/2021,130382.0,0.0,2285.0,174540.0
2/25/2021,130813.0,0.0,2290.0,180993.0
2/26/2021,131234.0,0.0,2291.0,189352.0
2/27/2021,131580.0,0.0,2297.0,201077.0
2/28/2021,131855.0,0.0,2300.0,205102.0
3/1/2021,132048.0,0.0,2300.0,206179.0
3/2/2021,132184.0,0.0,2301.0,207129.0
3/3/2021,132416.0,0.0,2309.0,209451.0
3/4/2021,132677.0,0.0,2309.0,213203.0
3/5/2021,132964.0,0.0,2318.0,219837.0
3/6/2021,133290.0,0.0,2323.0,226593.0
3/7/2021,133445.0,0.0,2325.0,229046.0
3/8/2021,133627.0,0.0,2325.0,230156.0
3/9/2021,133856.0,0.0,2326.0,231295.0
3/10/2021,134158.0,0.0,2330.0,232746.0
3/11/2021,134496.0,0.0,2338.0,238717.0
3/12/2021,134842.0,0.0,2511.0,246830.0
3/13/2021,135149.0,0.0,2519.0,258175.0
3/14/2021,135468.0,0.0,2530.0,259988.0
3/15/2021,135678.0,0.0,2531.0,261032.0
3/16/2021,136019.0,0.0,2546.0,262477.0
3/17/2021,136334.0,0.0,2565.0,263392.0
3/18/2021,136716.0,0.0,2570.0,268847.0
3/19/2021,137092.0,0.0,2600.0,276506.0
3/20/2021,137478.0,0.0,2600.0,284107.0
3/21/2021,137826.0,0.0,2606.0,285846.0
3/22/2021,138102.0,0.0,2612.0,286517.0
3/23/2021,138429.0,0.0,2613.0,288979.0
3/24/2021,138818.0,0.0,2619.0,292335.0
3/25/2021,139251.0,0.0,2624.0,300747.0
3/26/2021,139750.0,0.0,2628.0,314994.0
3/27/2021,140316.0,0.0,2631.0,327909.0
3/28/2021,140613.0,0.0,2634.0,330678.0
3/29/2021,140991.0,0.0,2638.0,331161.0
3/30/2021,141322.0,0.0,2640.0,334096.0
3/31/2021,141738.0,0.0,2676.0,336742.0
4/1/2021,142233.0,0.0,2683.0,347394.0
4/2/2021,142653.0,0.0,2688.0,367190.0
4/3/2021,143106.0,0.0,2693.0,376323.0
4/4/2021,143456.0,0.0,2695.0,379207.0
4/5/2021,143733.0,0.0,2696.0,379705.0
4/6/2021,144010.0,0.0,2707.0,382002.0
4/7/2021,144374.0,0.0,2722.0,386361.0
4/8/2021,144820.0,0.0,2735.0,395951.0
4/9/2021,145299.0,0.0,2737.0,411020.0
4/10/2021,145754.0,0.0,2742.0,426351.0
4/11/2021,146169.0,0.0,2745.0,432618.0
4/12/2021,146462.0,0.0,2745.0,433539.0
4/13/2021,146790.0,0.0,2747.0,436584.0
4/14/2021,147203.0,0.0,2756.0,440408.0
4/15/2021,147596.0,0.0,2772.0,447532.0
4/16/2021,148071.0,0.0,2777.0,459631.0
4/17/2021,148517.0,0.0,2780.0,471709.0
4/18/2021,148887.0,0.0,2785.0,476666.0
4/19/2021,149147.0,0.0,2785.0,477023.0
4/20/2021,149462.0,0.0,2789.0,481547.0
4/21/2021,149888.0,0.0,2800.0,486634.0
4/22/2021,150288.0,0.0,2808.0,494705.0
4/23/2021,150693.0,0.0,2813.0,507602.0
4/24/2021,151068.0,0.0,2817.0,515490.0
4/25/2021,151382.0,0.0,2821.0,518956.0
4/26/2021,151671.0,0.0,2821.0,519432.0
4/27/2021,151848.0,0.0,2662.0,521809.0
4/28/2021,152301.0,0.0,2673.0,525298.0
4/29/2021,152733.0,0.0,2674.0,534200.0
4/30/2021,153128.0,0.0,2679.0,543800.0
5/1/2021,153498.0,0.0,2679.0,550960.0
5/2/2021,153918.0,0.0,2686.0,553522.0
5/3/2021,154207.0,0.0,2686.0,553809.0
5/4/2021,154551.0,0.0,2695.0,555684.0
5/5/2021,154956.0,0.0,2707.0,556086.0
5/6/2021,155341.0,0.0,2713.0,561952.0
5/7/2021,155680.0,0.0,2719.0,567054.0
5/8/2021,156001.0,0.0,2726.0,572054.0
5/9/2021,156406.0,0.0,2726.0,573097.0
5/10/2021,156617.0,0.0,2729.0,573458.0
5/11/2021,156875.0,0.0,2734.0,575682.0
5/12/2021,157215.0,0.0,2748.0,578137.0
5/13/2021,157626.0,0.0,2751.0,580790.0
5/14/2021,157923.0,0.0,2756.0,584294.0
5/15/2021,158230.0,0.0,2757.0,587339.0
5/16/2021,158468.0,0.0,2761.0,588277.0
5/17/2021,158643.0,0.0,2762.0,588566.0
5/18/2021,158888.0,0.0,2763.0,589709.0
5/19/2021,159149.0,0.0,2767.0,591684.0
5/20/2021,159450.0,0.0,2769.0,594018.0
5/21/2021,159735.0,0.0,2772.0,596994.0
5/22/2021,159940.0,0.0,2772.0,599305.0
5/23/2021,160145.0,0.0,2772.0,600173.0
5/24/2021,160354.0,0.0,2775.0,600514.0
5/25/2021,160587.0,0.0,2782.0,601629.0
