State,School Closure,Stay at Home Order,Business Closure,Resturaunt Closure,Gathering Restriction
Alabama, 3/19/20, 4/3/20, 3/27/20, 3/19/20, 3/27/20
Alaska, 3/16/20, 3/28/20, 3/28/20, 3/18/20, 3/24/20
Arizona, 3/16/20, 3/31/20, 3/31/20, 3/31/20, 3/16/20
Arkansas, 3/17/20, N/A, N/A, 3/19/20, 3/26/20
California, 3/19/20, 3/19/20, 3/19/20, 3/16/20, 3/16/20
Colorado, 3/23/20, 3/26/20, 3/26/20, 3/17/20, 3/19/20
Connecticut, 3/17/20, 3/23/20, 3/23/20, 3/16/20, 3/26/20
Delaware, 3/16/20, 3/24/20, 3/24/20, 3/16/20, 3/24/20
Florida, 3/17/20, 4/3/20, 4/3/20, 3/20/20, 4/3/20
Georgia, 3/18/20, 4/3/20, 4/3/20, 4/3/20, 3/24/20
Hawaii, 3/16/20, 3/25/20, 3/25/20, 3/17/20, 3/17/20
Idaho, 3/23/20, 3/25/20, 3/25/20, 3/25/20, 3/19/20
Illinois, 3/17/20, 3/21/20, 3/21/20, 3/16/20, 3/21/20
Indiana, 3/19/20, 3/24/20, 3/23/20, 3/16/20, 3/23/20
Iowa, 3/16/20, N/A, 3/26/20, 3/17/20, 3/17/20
Kansas, 3/17/20, 3/28/20, 3/28/20, 3/28/20, 3/24/20
Kentucky, 3/16/20, 3/26/20, 3/26/20, 3/16/20, 3/26/20
Louisiana, 3/13/20, 3/23/20, 3/23/20, 3/16/20, 3/23/20
Maine, 3/15/20, 4/1/20, 3/25/20, 3/18/20, 3/18/20
Maryland, 3/16/20, 3/30/20, 3/23/20, 3/16/20, 3/19/20
Massachusetts, 3/16/20, 3/24/20, 3/24/20, 3/17/20, 3/24/20
Michigan, 3/16/20, 3/24/20, 3/24/20, 3/16/20, 3/24/20
Minnesota, 3/18/20, 3/27/20, 3/27/20, 3/17/20, 3/27/20
Mississippi, 3/19/20, 4/3/20, 3/24/20, 4/3/20, 3/24/20
Missouri, 3/23/20, 4/6/20, N/A, N/A, 3/23/20
Montana, 3/16/20, 3/26/20, 3/26/20, 3/20/20, 3/24/20
Nebraska, 3/16/20, N/A, N/A, 3/19/20, 4/3/20
Nevada, 3/15/20, 3/31/20, 3/20/20, 3/20/20, 3/24/20
New Hampshire, 3/16/20, 3/27/20, 3/27/20, 3/16/20, 3/23/20
New Jersey, 3/18/20, 3/21/20, 3/21/20, 3/21/20, 3/21/20
New Mexico, 3/16/20, 3/23/20, 3/23/20, 3/19/20, 3/19/20
New York, 3/18/20, 3/22/20, 3/22/20, 3/16/20, 3/23/20
North Carolina, 3/16/20, 3/30/20, 3/30/20, 3/17/20, 3/30/20
North Dakota, 3/16/20, N/A, N/A, 3/20/20, 3/30/20
Ohio, 3/17/20, 3/23/20, 3/23/20, 3/15/20, 3/23/20
Oklahoma, 3/17/20, N/A, N/A, 3/25/20, 3/17/20
Oregon, 3/16/20, 3/23/20, N/A, 3/17/20, 3/23/20
Pennsylvania, 3/16/20, 4/1/20, 3/19/20, 3/16/20, 3/17/20
Rhode Island, 3/23/20, 3/28/20, 3/28/20, 3/16/20, 3/22/20
South Carolina, 3/15/20, 4/6/20, 3/31/20, 3/17/20, 3/23/20
South Dakota, 3/16/20, N/A, N/A, N/A, 3/23/20
Tennessee, 3/20/20, 3/31/20, 3/31/20, 3/23/20, 3/23/20
Texas, 3/19/20, 3/31/20, 4/2/20, 3/20/20, 3/19/20
Utah, 3/16/20, 3/27/20, N/A, 3/18/20, 3/18/20
Vermont, 3/18/20, 3/25/20, 3/25/20, 3/17/20, 3/21/20
Virginia, 3/16/20, 3/30/20, N/A, 3/24/20, 3/24/20
Washington, 3/17/20, 3/23/20, 3/25/20, 3/16/20, 3/23/20
West Virginia, 3/16/20, 3/24/20, 3/24/20, 3/17/20, 3/16/20
Wisconsin, 3/18/20, 3/25/20, 3/25/20, 3/17/20, 3/17/20
Wyoming, 3/19/20, N/A, N/A, 3/19/20, 3/20/20
